bigram,count,codepoints,unicode_names
ိဟ,71,U+102D U+101F,MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
သု,71,U+101E U+102F,MYANMAR LETTER SA | MYANMAR VOWEL SIGN U
းမ,71,U+1038 U+1019,MYANMAR SIGN VISARGA | MYANMAR LETTER MA
းတ,70,U+1038 U+1010,MYANMAR SIGN VISARGA | MYANMAR LETTER TA
ာပ,70,U+102C U+1015,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ိၚ,69,U+102D U+105A,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON NGA
းပ,68,U+1038 U+1015,MYANMAR SIGN VISARGA | MYANMAR LETTER PA
ဲက,68,U+1032 U+1000,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA
ပည,68,U+1015 U+100A,MYANMAR LETTER PA | MYANMAR LETTER NNYA
္စ,68,U+1039 U+1005,MYANMAR SIGN VIRAMA | MYANMAR LETTER CA
ကူ,68,U+1000 U+1030,MYANMAR LETTER KA | MYANMAR VOWEL SIGN UU
ကာ,67,U+1000 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN AA
ဍဲ,67,U+100D U+1032,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI
ကွ,66,U+1000 U+103D,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA
ၞာ,66,U+105E U+102C,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN AA
ၠု,65,U+1060 U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
နူ,65,U+1014 U+1030,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU
အဲ,64,U+1021 U+1032,MYANMAR LETTER A | MYANMAR VOWEL SIGN AI
ုံ,64,U+102F U+1036,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA
ုသ,63,U+102F U+101E,MYANMAR VOWEL SIGN U | MYANMAR LETTER SA
ဍု,63,U+100D U+102F,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
သ္,63,U+101E U+1039,MYANMAR LETTER SA | MYANMAR SIGN VIRAMA
ံအ,62,U+1036 U+1021,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A
မည,62,U+1019 U+100A,MYANMAR LETTER MA | MYANMAR LETTER NNYA
ဲအ,62,U+1032 U+1021,MYANMAR VOWEL SIGN AI | MYANMAR LETTER A
ချ,62,U+1001 U+103B,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
ေပ,62,U+1031 U+1015,MYANMAR VOWEL SIGN E | MYANMAR LETTER PA
ာရ,60,U+102C U+101B,MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
္ပ,60,U+1039 U+1015,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
ၟံ,59,U+105F U+1036,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA
ုဒ,59,U+102F U+1012,MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
ၠာ,59,U+1060 U+102C,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN AA
ဲတ,58,U+1032 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA
ဇၞ,58,U+1007 U+105E,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ိပ,58,U+102D U+1015,MYANMAR VOWEL SIGN I | MYANMAR LETTER PA
တန,58,U+1010 U+1014,MYANMAR LETTER TA | MYANMAR LETTER NA
ၟု,58,U+105F U+102F,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN U
ုစ,57,U+102F U+1005,MYANMAR VOWEL SIGN U | MYANMAR LETTER CA
ဗီ,57,U+1017 U+102E,MYANMAR LETTER BA | MYANMAR VOWEL SIGN II
ဂမ,57,U+1002 U+1019,MYANMAR LETTER GA | MYANMAR LETTER MA
်ေ,57,U+103A U+1031,MYANMAR SIGN ASAT | MYANMAR VOWEL SIGN E
က္,56,U+1000 U+1039,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA
ဲသ,56,U+1032 U+101E,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA
မတ,56,U+1019 U+1010,MYANMAR LETTER MA | MYANMAR LETTER TA
်၊,56,U+103A U+104A,MYANMAR SIGN ASAT | MYANMAR SIGN LITTLE SECTION
ၞိ,55,U+105E U+102D,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I
ဲလ,55,U+1032 U+101C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA
ုအ,55,U+102F U+1021,MYANMAR VOWEL SIGN U | MYANMAR LETTER A
ကၞ,54,U+1000 U+105E,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဲပ,54,U+1032 U+1015,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA
်ဍ,54,U+103A U+100D,MYANMAR SIGN ASAT | MYANMAR LETTER DDA
ဲဂ,53,U+1032 U+1002,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
သၞ,53,U+101E U+105E,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ံဒ,53,U+1036 U+1012,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA
ံဗ,52,U+1036 U+1017,MYANMAR SIGN ANUSVARA | MYANMAR LETTER BA
မလ,52,U+1019 U+101C,MYANMAR LETTER MA | MYANMAR LETTER LA
ဝါ,52,U+101D U+102B,MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA
ဏအ,52,U+100F U+1021,MYANMAR LETTER NNA | MYANMAR LETTER A
ဏာ,51,U+100F U+102C,MYANMAR LETTER NNA | MYANMAR VOWEL SIGN AA
သက,51,U+101E U+1000,MYANMAR LETTER SA | MYANMAR LETTER KA
ဒါ,51,U+1012 U+102B,MYANMAR LETTER DA | MYANMAR VOWEL SIGN TALL AA
လၟ,51,U+101C U+105F,MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ာလ,51,U+102C U+101C,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA
းသ,50,U+1038 U+101E,MYANMAR SIGN VISARGA | MYANMAR LETTER SA
ကမ,50,U+1000 U+1019,MYANMAR LETTER KA | MYANMAR LETTER MA
ရန,49,U+101B U+1014,MYANMAR LETTER RA | MYANMAR LETTER NA
ရိ,49,U+101B U+102D,MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ံန,49,U+1036 U+1014,MYANMAR SIGN ANUSVARA | MYANMAR LETTER NA
ည်,49,U+100A U+103A,MYANMAR LETTER NNYA | MYANMAR SIGN ASAT
ထေ,49,U+1011 U+1031,MYANMAR LETTER THA | MYANMAR VOWEL SIGN E
လု,48,U+101C U+102F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ြၚ,48,U+103C U+105A,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER MON NGA
တှ,48,U+1010 U+103E,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL HA
ဆက,48,U+1006 U+1000,MYANMAR LETTER CHA | MYANMAR LETTER KA
သီ,47,U+101E U+102E,MYANMAR LETTER SA | MYANMAR VOWEL SIGN II
်ဘ,47,U+103A U+1018,MYANMAR SIGN ASAT | MYANMAR LETTER BHA
ပေ,47,U+1015 U+1031,MYANMAR LETTER PA | MYANMAR VOWEL SIGN E
သိ,46,U+101E U+102D,MYANMAR LETTER SA | MYANMAR VOWEL SIGN I
