file,characters_counted,all_text_length,nga_to_mon_nga_replacements,status
telegram_mot_tip_ebook/msg_20260427_213939_26.txt,11,11,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_626.txt,0,1,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2212.txt,21,21,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_1038.txt,4,4,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2450.txt,10,11,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_550.txt,42,45,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_133.txt,61,65,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_2691.txt,23,25,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2461.txt,37,45,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_470.txt,21,21,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_494.txt,53,55,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_47.txt,0,11,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_448.txt,18,18,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_1066.txt,69,89,3,ok
telegram_mot_tip_ebook/msg_20260122_174045_2804.txt,8,11,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2112.txt,27,49,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_196.txt,15,16,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1057.txt,122,294,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_464.txt,45,49,1,ok
telegram_mot_tip_ebook/msg_20260122_174338_1849.txt,0,6,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2210.txt,45,48,3,ok
telegram_mot_tip_ebook/msg_20260122_174045_1507.txt,33,45,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2699.txt,20,21,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_1416.txt,9,10,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_114.txt,59,60,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_392.txt,78,88,3,ok
telegram_mot_tip_ebook/downloaded_messages.txt,0,4045,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_218.txt,45,50,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_155.txt,0,2,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_199.txt,8,8,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_154.txt,49,55,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_58.txt,16,16,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2674.txt,26,27,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_190.txt,32,36,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_645.txt,159,183,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_462.txt,22,22,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_164.txt,62,83,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_22.txt,10,10,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_619.txt,44,52,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_398.txt,13,13,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_436.txt,13,13,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2662.txt,10,10,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_53.txt,27,28,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_974.txt,18,29,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2807.txt,41,56,1,ok
telegram_mot_tip_ebook/msg_20260122_174338_2176.txt,0,4,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_285.txt,26,26,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_182.txt,70,79,3,ok
telegram_mot_tip_ebook/msg_20260427_213939_261.txt,0,11,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_277.txt,24,38,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_19.txt,35,38,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1268.txt,46,51,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_191.txt,8,8,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_182.txt,29,29,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2483.txt,13,14,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_56.txt,52,99,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_595.txt,33,35,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_136.txt,47,47,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2689.txt,26,27,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_25.txt,38,64,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1060.txt,130,254,4,ok
telegram_mot_tip_ebook/msg_20260427_213939_248.txt,22,28,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2052.txt,51,63,0,ok
