trigram,count,codepoints,unicode_names
ပုပ,1,U+1015 U+102F U+1015,MYANMAR LETTER PA | MYANMAR VOWEL SIGN U | MYANMAR LETTER PA
ပ္ဗ,1,U+1015 U+1039 U+1017,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA | MYANMAR LETTER BA
ဗာရ,1,U+1017 U+102C U+101B,MYANMAR LETTER BA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ဲကဝ,1,U+1032 U+1000 U+101D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA | MYANMAR LETTER WA
်ၜဲ,1,U+103A U+105C U+1032,MYANMAR SIGN ASAT | MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN AI
ဲဝာ,1,U+1032 U+101D U+102C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER WA | MYANMAR VOWEL SIGN AA
ဝာည,1,U+101D U+102C U+100A,MYANMAR LETTER WA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER NNYA
်ဆၜ,1,U+103A U+1006 U+105C,MYANMAR SIGN ASAT | MYANMAR LETTER CHA | MYANMAR LETTER MON BBA
ဆၜိ,1,U+1006 U+105C U+102D,MYANMAR LETTER CHA | MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN I
ေမွ,1,U+1031 U+1019 U+103D,MYANMAR VOWEL SIGN E | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ထာဖ,1,U+1011 U+102C U+1016,MYANMAR LETTER THA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER PHA
ာဖျ,1,U+102C U+1016 U+103B,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PHA | MYANMAR CONSONANT SIGN MEDIAL YA
ေံဗ,1,U+1031 U+1036 U+1017,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA | MYANMAR LETTER BA
်ုအ,1,U+103A U+102F U+1021,MYANMAR SIGN ASAT | MYANMAR VOWEL SIGN U | MYANMAR LETTER A
ရထန,1,U+101B U+1011 U+1014,MYANMAR LETTER RA | MYANMAR LETTER THA | MYANMAR LETTER NA
ထနွ,1,U+1011 U+1014 U+103D,MYANMAR LETTER THA | MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
ထက်,1,U+1011 U+1000 U+103A,MYANMAR LETTER THA | MYANMAR LETTER KA | MYANMAR SIGN ASAT
ဴသွ,1,U+1034 U+101E U+103D,MYANMAR VOWEL SIGN MON O | MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ဝမၞ,1,U+101D U+1019 U+105E,MYANMAR LETTER WA | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ညာဘ,1,U+100A U+102C U+1018,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER BHA
ဝလၟ,1,U+101D U+101C U+105F,MYANMAR LETTER WA | MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MON MEDIAL MA
်၁ယ,1,U+103A U+1041 U+101A,MYANMAR SIGN ASAT | MYANMAR DIGIT ONE | MYANMAR LETTER YA
၁ယဝ,1,U+1041 U+101A U+101D,MYANMAR DIGIT ONE | MYANMAR LETTER YA | MYANMAR LETTER WA
ုံ၁,1,U+102F U+1036 U+1041,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA | MYANMAR DIGIT ONE
ံ၁၈,1,U+1036 U+1041 U+1048,MYANMAR SIGN ANUSVARA | MYANMAR DIGIT ONE | MYANMAR DIGIT EIGHT
၁၈န,1,U+1041 U+1048 U+1014,MYANMAR DIGIT ONE | MYANMAR DIGIT EIGHT | MYANMAR LETTER NA
၈နွ,1,U+1048 U+1014 U+103D,MYANMAR DIGIT EIGHT | MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
ဗျပ,1,U+1017 U+103B U+1015,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER PA
ကိဏ,1,U+1000 U+102D U+100F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I | MYANMAR LETTER NNA
ိဏ္,1,U+102D U+100F U+1039,MYANMAR VOWEL SIGN I | MYANMAR LETTER NNA | MYANMAR SIGN VIRAMA
္ဏက,1,U+1039 U+100F U+1000,MYANMAR SIGN VIRAMA | MYANMAR LETTER NNA | MYANMAR LETTER KA
ဏကက,1,U+100F U+1000 U+1000,MYANMAR LETTER NNA | MYANMAR LETTER KA | MYANMAR LETTER KA
ကကျ,1,U+1000 U+1000 U+103B,MYANMAR LETTER KA | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
ဝေဓ,1,U+101D U+1031 U+1013,MYANMAR LETTER WA | MYANMAR VOWEL SIGN E | MYANMAR LETTER DHA
ေဓည,1,U+1031 U+1013 U+100A,MYANMAR VOWEL SIGN E | MYANMAR LETTER DHA | MYANMAR LETTER NNYA
ဓညာ,1,U+1013 U+100A U+102C,MYANMAR LETTER DHA | MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
ာဏဍ,1,U+102C U+100F U+100D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NNA | MYANMAR LETTER DDA
ဏဍု,1,U+100F U+100D U+102F,MYANMAR LETTER NNA | MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ါ်က,1,U+102B U+103A U+1000,MYANMAR VOWEL SIGN TALL AA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
ခိက,1,U+1001 U+102D U+1000,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
ုစု,1,U+102F U+1005 U+102F,MYANMAR VOWEL SIGN U | MYANMAR LETTER CA | MYANMAR VOWEL SIGN U
ျာစ,1,U+103B U+102C U+1005,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER CA
ခူမ,1,U+1001 U+1030 U+1019,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER MA
ူမရ,1,U+1030 U+1019 U+101B,MYANMAR VOWEL SIGN UU | MYANMAR LETTER MA | MYANMAR LETTER RA
ၠံတ,1,U+1060 U+1036 U+1010,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
ရဴစ,1,U+101B U+1034 U+1005,MYANMAR LETTER RA | MYANMAR VOWEL SIGN MON O | MYANMAR LETTER CA
ဴစှ,1,U+1034 U+1005 U+103E,MYANMAR VOWEL SIGN MON O | MYANMAR LETTER CA | MYANMAR CONSONANT SIGN MEDIAL HA
ၟိ၁,1,U+105F U+102D U+1041,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I | MYANMAR DIGIT ONE
ဖေါ,1,U+1016 U+1031 U+102B,MYANMAR LETTER PHA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA
ေါအ,1,U+1031 U+102B U+1021,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER A
ါအ်,1,U+102B U+1021 U+103A,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER A | MYANMAR SIGN ASAT
ဗြေ,1,U+1017 U+103C U+1031,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN E
မီက,1,U+1019 U+102E U+1000,MYANMAR LETTER MA | MYANMAR VOWEL SIGN II | MYANMAR LETTER KA
ီကတ,1,U+102E U+1000 U+1010,MYANMAR VOWEL SIGN II | MYANMAR LETTER KA | MYANMAR LETTER TA
ံအဂ,1,U+1036 U+1021 U+1002,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A | MYANMAR LETTER GA
ာအန,1,U+102C U+1021 U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER A | MYANMAR LETTER NA
်နအ,1,U+103A U+1014 U+1021,MYANMAR SIGN ASAT | MYANMAR LETTER NA | MYANMAR LETTER A
ဲဗဳ,1,U+1032 U+1017 U+1033,MYANMAR VOWEL SIGN AI | MYANMAR LETTER BA | MYANMAR VOWEL SIGN MON II
ဗဳထ,1,U+1017 U+1033 U+1011,MYANMAR LETTER BA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER THA
ဳထဝ,1,U+1033 U+1011 U+101D,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER THA | MYANMAR LETTER WA
ဇြာ,1,U+1007 U+103C U+102C,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA
ြာရ,1,U+103C U+102C U+101B,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ပ်၃,1,U+1015 U+103A U+1043,MYANMAR LETTER PA | MYANMAR SIGN ASAT | MYANMAR DIGIT THREE
သရၚ,1,U+101E U+101B U+105A,MYANMAR LETTER SA | MYANMAR LETTER RA | MYANMAR LETTER MON NGA
၊၊ၜ,1,U+104A U+104A U+105C,MYANMAR SIGN LITTLE SECTION | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER MON BBA
ါတ္,1,U+102B U+1010 U+1039,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
ပသရ,1,U+1015 U+101E U+101B,MYANMAR LETTER PA | MYANMAR LETTER SA | MYANMAR LETTER RA
ုဝါ,1,U+102F U+101D U+102B,MYANMAR VOWEL SIGN U | MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA
ာပစ,1,U+102C U+1015 U+1005,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA | MYANMAR LETTER CA
္စယ,1,U+1039 U+1005 U+101A,MYANMAR SIGN VIRAMA | MYANMAR LETTER CA | MYANMAR LETTER YA
စယ်,1,U+1005 U+101A U+103A,MYANMAR LETTER CA | MYANMAR LETTER YA | MYANMAR SIGN ASAT
ိသီ,1,U+102D U+101E U+102E,MYANMAR VOWEL SIGN I | MYANMAR LETTER SA | MYANMAR VOWEL SIGN II
ုရံ,1,U+102F U+101B U+1036,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA | MYANMAR SIGN ANUSVARA
ံအဋ,1,U+1036 U+1021 U+100B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A | MYANMAR LETTER TTA
မညဓ,1,U+1019 U+100A U+1013,MYANMAR LETTER MA | MYANMAR LETTER NNYA | MYANMAR LETTER DHA
ညဓမ,1,U+100A U+1013 U+1019,MYANMAR LETTER NNYA | MYANMAR LETTER DHA | MYANMAR LETTER MA
ယမပ,1,U+101A U+1019 U+1015,MYANMAR LETTER YA | MYANMAR LETTER MA | MYANMAR LETTER PA
တူဝ,1,U+1010 U+1030 U+101D,MYANMAR LETTER TA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER WA
ူဝေ,1,U+1030 U+101D U+1031,MYANMAR VOWEL SIGN UU | MYANMAR LETTER WA | MYANMAR VOWEL SIGN E
ၠံက,1,U+1060 U+1036 U+1000,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ဲခု,1,U+1032 U+1001 U+102F,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KHA | MYANMAR VOWEL SIGN U
ံဟရ,1,U+1036 U+101F U+101B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER HA | MYANMAR LETTER RA
ဟရေ,1,U+101F U+101B U+1031,MYANMAR LETTER HA | MYANMAR LETTER RA | MYANMAR VOWEL SIGN E
ရေတ,1,U+101B U+1031 U+1010,MYANMAR LETTER RA | MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
ဴတု,1,U+1034 U+1010 U+102F,MYANMAR VOWEL SIGN MON O | MYANMAR LETTER TA | MYANMAR VOWEL SIGN U
ညာဥ,1,U+100A U+102C U+1025,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER U
ာဥ်,1,U+102C U+1025 U+103A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER U | MYANMAR SIGN ASAT
ဥ်အ,1,U+1025 U+103A U+1021,MYANMAR LETTER U | MYANMAR SIGN ASAT | MYANMAR LETTER A
ႅာဟ,1,U+1085 U+102C U+101F,MYANMAR VOWEL SIGN SHAN E ABOVE | MYANMAR VOWEL SIGN AA | MYANMAR LETTER HA
ဘဏ်,1,U+1018 U+100F U+103A,MYANMAR LETTER BHA | MYANMAR LETTER NNA | MYANMAR SIGN ASAT
ာတဲ,1,U+102C U+1010 U+1032,MYANMAR VOWEL SIGN AA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN AI
တဲု,1,U+1010 U+1032 U+102F,MYANMAR LETTER TA | MYANMAR VOWEL SIGN AI | MYANMAR VOWEL SIGN U
ဲုယ,1,U+1032 U+102F U+101A,MYANMAR VOWEL SIGN AI | MYANMAR VOWEL SIGN U | MYANMAR LETTER YA
ယျ၃,1,U+101A U+103B U+1043,MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR DIGIT THREE
ျ၃၀,1,U+103B U+1043 U+1040,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR DIGIT THREE | MYANMAR DIGIT ZERO
၀၀န,1,U+1040 U+1040 U+1014,MYANMAR DIGIT ZERO | MYANMAR DIGIT ZERO | MYANMAR LETTER NA
ညာန,1,U+100A U+102C U+1014,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
ာနန,1,U+102C U+1014 U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA | MYANMAR LETTER NA
ပညး,1,U+1015 U+100A U+1038,MYANMAR LETTER PA | MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
ၠကျ,1,U+1060 U+1000 U+103B,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
မဏီ,1,U+1019 U+100F U+102E,MYANMAR LETTER MA | MYANMAR LETTER NNA | MYANMAR VOWEL SIGN II
ပတန,1,U+1015 U+1010 U+1014,MYANMAR LETTER PA | MYANMAR LETTER TA | MYANMAR LETTER NA
ဂိစ,1,U+1002 U+102D U+1005,MYANMAR LETTER GA | MYANMAR VOWEL SIGN I | MYANMAR LETTER CA
ရသွ,1,U+101B U+101E U+103D,MYANMAR LETTER RA | MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
တာသ,1,U+1010 U+102C U+101E,MYANMAR LETTER TA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER SA
တဲဝ,1,U+1010 U+1032 U+101D,MYANMAR LETTER TA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER WA
ဲဝိ,1,U+1032 U+101D U+102D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER WA | MYANMAR VOWEL SIGN I
သလဲ,1,U+101E U+101C U+1032,MYANMAR LETTER SA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN AI
လဲည,1,U+101C U+1032 U+100A,MYANMAR LETTER LA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER NNYA
်ဆပ,1,U+103A U+1006 U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER CHA | MYANMAR LETTER PA
ဆပက,1,U+1006 U+1015 U+1000,MYANMAR LETTER CHA | MYANMAR LETTER PA | MYANMAR LETTER KA
ၠမူ,1,U+1060 U+1019 U+1030,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER MA | MYANMAR VOWEL SIGN UU
မူည,1,U+1019 U+1030 U+100A,MYANMAR LETTER MA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER NNYA
ျူဇ,1,U+103B U+1030 U+1007,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER JA
ူဇန,1,U+1030 U+1007 U+1014,MYANMAR VOWEL SIGN UU | MYANMAR LETTER JA | MYANMAR LETTER NA
ဲရဲ,1,U+1032 U+101B U+1032,MYANMAR VOWEL SIGN AI | MYANMAR LETTER RA | MYANMAR VOWEL SIGN AI
်ဇိ,1,U+103A U+1007 U+102D,MYANMAR SIGN ASAT | MYANMAR LETTER JA | MYANMAR VOWEL SIGN I
က္အ,1,U+1000 U+1039 U+1021,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA | MYANMAR LETTER A
္အရ,1,U+1039 U+1021 U+101B,MYANMAR SIGN VIRAMA | MYANMAR LETTER A | MYANMAR LETTER RA
၁၃၀,1,U+1041 U+1043 U+1040,MYANMAR DIGIT ONE | MYANMAR DIGIT THREE | MYANMAR DIGIT ZERO
၃၀၁,1,U+1043 U+1040 U+1041,MYANMAR DIGIT THREE | MYANMAR DIGIT ZERO | MYANMAR DIGIT ONE
၀၁သ,1,U+1040 U+1041 U+101E,MYANMAR DIGIT ZERO | MYANMAR DIGIT ONE | MYANMAR LETTER SA
၁သၞ,1,U+1041 U+101E U+105E,MYANMAR DIGIT ONE | MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
္စဆ,1,U+1039 U+1005 U+1006,MYANMAR SIGN VIRAMA | MYANMAR LETTER CA | MYANMAR LETTER CHA
စဆက,1,U+1005 U+1006 U+1000,MYANMAR LETTER CA | MYANMAR LETTER CHA | MYANMAR LETTER KA
ည်ပ,1,U+100A U+103A U+1015,MYANMAR LETTER NNYA | MYANMAR SIGN ASAT | MYANMAR LETTER PA
ါ်ထ,1,U+102B U+103A U+1011,MYANMAR VOWEL SIGN TALL AA | MYANMAR SIGN ASAT | MYANMAR LETTER THA
အစီ,1,U+1021 U+1005 U+102E,MYANMAR LETTER A | MYANMAR LETTER CA | MYANMAR VOWEL SIGN II
စီအ,1,U+1005 U+102E U+1021,MYANMAR LETTER CA | MYANMAR VOWEL SIGN II | MYANMAR LETTER A
ီအဇ,1,U+102E U+1021 U+1007,MYANMAR VOWEL SIGN II | MYANMAR LETTER A | MYANMAR LETTER JA
။ပွ,1,U+104B U+1015 U+103D,MYANMAR SIGN SECTION | MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL WA
ဏံစ,1,U+100F U+1036 U+1005,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER CA
ံစန,1,U+1036 U+1005 U+1014,MYANMAR SIGN ANUSVARA | MYANMAR LETTER CA | MYANMAR LETTER NA
ည်ရ,1,U+100A U+103A U+101B,MYANMAR LETTER NNYA | MYANMAR SIGN ASAT | MYANMAR LETTER RA
သနမ,1,U+101E U+1014 U+1019,MYANMAR LETTER SA | MYANMAR LETTER NA | MYANMAR LETTER MA
နမန,1,U+1014 U+1019 U+1014,MYANMAR LETTER NA | MYANMAR LETTER MA | MYANMAR LETTER NA
တိထ,1,U+1010 U+102D U+1011,MYANMAR LETTER TA | MYANMAR VOWEL SIGN I | MYANMAR LETTER THA
ိထ္,1,U+102D U+1011 U+1039,MYANMAR VOWEL SIGN I | MYANMAR LETTER THA | MYANMAR SIGN VIRAMA
ထ္ပ,1,U+1011 U+1039 U+1015,MYANMAR LETTER THA | MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
ဏကဵ,1,U+100F U+1000 U+1035,MYANMAR LETTER NNA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
ုဝၚ,1,U+102F U+101D U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER WA | MYANMAR LETTER MON NGA
မဏဒ,1,U+1019 U+100F U+1012,MYANMAR LETTER MA | MYANMAR LETTER NNA | MYANMAR LETTER DA
ဏဒေ,1,U+100F U+1012 U+1031,MYANMAR LETTER NNA | MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
အဲယ,1,U+1021 U+1032 U+101A,MYANMAR LETTER A | MYANMAR VOWEL SIGN AI | MYANMAR LETTER YA
ိအ်,1,U+102D U+1021 U+103A,MYANMAR VOWEL SIGN I | MYANMAR LETTER A | MYANMAR SIGN ASAT
ာအဲ,1,U+102C U+1021 U+1032,MYANMAR VOWEL SIGN AA | MYANMAR LETTER A | MYANMAR VOWEL SIGN AI
သွအ,1,U+101E U+103D U+1021,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER A
ွအာ,1,U+103D U+1021 U+102C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER A | MYANMAR VOWEL SIGN AA
အာဒ,1,U+1021 U+102C U+1012,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA | MYANMAR LETTER DA
်ပမ,1,U+103A U+1015 U+1019,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR LETTER MA
ံဇြ,1,U+1036 U+1007 U+103C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MEDIAL RA
ုဂး,1,U+102F U+1002 U+1038,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA | MYANMAR SIGN VISARGA
းတဴ,1,U+1038 U+1010 U+1034,MYANMAR SIGN VISARGA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN MON O
ဗဵဲ,1,U+1017 U+1035 U+1032,MYANMAR LETTER BA | MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN AI
ဵဲမ,1,U+1035 U+1032 U+1019,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
းဝွ,1,U+1038 U+101D U+103D,MYANMAR SIGN VISARGA | MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA
ြာလ,1,U+103C U+102C U+101C,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA
သိဝ,1,U+101E U+102D U+101D,MYANMAR LETTER SA | MYANMAR VOWEL SIGN I | MYANMAR LETTER WA
ိဝလ,1,U+102D U+101D U+101C,MYANMAR VOWEL SIGN I | MYANMAR LETTER WA | MYANMAR LETTER LA
ဝလိ,1,U+101D U+101C U+102D,MYANMAR LETTER WA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
လိဗ,1,U+101C U+102D U+1017,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I | MYANMAR LETTER BA
ိဗီ,1,U+102D U+1017 U+102E,MYANMAR VOWEL SIGN I | MYANMAR LETTER BA | MYANMAR VOWEL SIGN II
ုမန,1,U+102F U+1019 U+1014,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA | MYANMAR LETTER NA
ံကမ,1,U+1036 U+1000 U+1019,MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA | MYANMAR LETTER MA
ုညန,1,U+102F U+100A U+1014,MYANMAR VOWEL SIGN U | MYANMAR LETTER NNYA | MYANMAR LETTER NA
ညနွ,1,U+100A U+1014 U+103D,MYANMAR LETTER NNYA | MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
ါကီ,1,U+102B U+1000 U+102E,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
တသ္,1,U+1010 U+101E U+1039,MYANMAR LETTER TA | MYANMAR LETTER SA | MYANMAR SIGN VIRAMA
္ပခ,1,U+1039 U+1015 U+1001,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA | MYANMAR LETTER KHA
ပခမ,1,U+1015 U+1001 U+1019,MYANMAR LETTER PA | MYANMAR LETTER KHA | MYANMAR LETTER MA
းဇိ,1,U+1038 U+1007 U+102D,MYANMAR SIGN VISARGA | MYANMAR LETTER JA | MYANMAR VOWEL SIGN I
ာ်ဏ,1,U+102C U+103A U+100F,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT | MYANMAR LETTER NNA
ျမၚ,1,U+103B U+1019 U+105A,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER MA | MYANMAR LETTER MON NGA
ဘော,1,U+1018 U+1031 U+102C,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
ာခမ,1,U+102C U+1001 U+1019,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KHA | MYANMAR LETTER MA
မဳသ,1,U+1019 U+1033 U+101E,MYANMAR LETTER MA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER SA
ဳသၚ,1,U+1033 U+101E U+105A,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER SA | MYANMAR LETTER MON NGA
မပလ,1,U+1019 U+1015 U+101C,MYANMAR LETTER MA | MYANMAR LETTER PA | MYANMAR LETTER LA
ါပၠ,1,U+102B U+1015 U+1060,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ဲတွ,1,U+1032 U+1010 U+103D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL WA
ုမယ,1,U+102F U+1019 U+101A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA | MYANMAR LETTER YA
မယု,1,U+1019 U+101A U+102F,MYANMAR LETTER MA | MYANMAR LETTER YA | MYANMAR VOWEL SIGN U
ယုတ,1,U+101A U+102F U+1010,MYANMAR LETTER YA | MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
မဂပ,1,U+1019 U+1002 U+1015,MYANMAR LETTER MA | MYANMAR LETTER GA | MYANMAR LETTER PA
ဟာ။,1,U+101F U+102C U+104B,MYANMAR LETTER HA | MYANMAR VOWEL SIGN AA | MYANMAR SIGN SECTION
မာပ,1,U+1019 U+102C U+1015,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ေါဲ,1,U+1031 U+102B U+1032,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA | MYANMAR VOWEL SIGN AI
ါဲပ,1,U+102B U+1032 U+1015,MYANMAR VOWEL SIGN TALL AA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA
ပြိ,1,U+1015 U+103C U+102D,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN I
၁ကၠ,1,U+1041 U+1000 U+1060,MYANMAR DIGIT ONE | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA
သာန,1,U+101E U+102C U+1014,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
ၠဳခ,1,U+1060 U+1033 U+1001,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER KHA
ဳချ,1,U+1033 U+1001 U+103B,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
ျူဖ,1,U+103B U+1030 U+1016,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER PHA
ူဖျ,1,U+1030 U+1016 U+103B,MYANMAR VOWEL SIGN UU | MYANMAR LETTER PHA | MYANMAR CONSONANT SIGN MEDIAL YA
၃၀စ,1,U+1043 U+1040 U+1005,MYANMAR DIGIT THREE | MYANMAR DIGIT ZERO | MYANMAR LETTER CA
၀စက,1,U+1040 U+1005 U+1000,MYANMAR DIGIT ZERO | MYANMAR LETTER CA | MYANMAR LETTER KA
ကရ။,1,U+1000 U+101B U+104B,MYANMAR LETTER KA | MYANMAR LETTER RA | MYANMAR SIGN SECTION
ရမအ,1,U+101B U+1019 U+1021,MYANMAR LETTER RA | MYANMAR LETTER MA | MYANMAR LETTER A
မအရ,1,U+1019 U+1021 U+101B,MYANMAR LETTER MA | MYANMAR LETTER A | MYANMAR LETTER RA
