trigram,count,codepoints,unicode_names
ၚ်ပ,66,U+105A U+103A U+1015,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER PA
်တၟ,65,U+103A U+1010 U+105F,MYANMAR SIGN ASAT | MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ွံတ,64,U+103D U+1036 U+1010,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
ဂကူ,64,U+1002 U+1000 U+1030,MYANMAR LETTER GA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN UU
ောဝ,63,U+1031 U+102C U+101D,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA
်လေ,63,U+103A U+101C U+1031,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR VOWEL SIGN E
္ဍဲ,63,U+1039 U+100D U+1032,MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI
ၚ်။,63,U+105A U+103A U+104B,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR SIGN SECTION
ၚ်လ,63,U+105A U+103A U+101C,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER LA
်မ္,62,U+103A U+1019 U+1039,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR SIGN VIRAMA
်အဴ,61,U+103A U+1021 U+1034,MYANMAR SIGN ASAT | MYANMAR LETTER A | MYANMAR VOWEL SIGN MON O
ၚ်တ,61,U+105A U+103A U+1010,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER TA
ဍုၚ,61,U+100D U+102F U+105A,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
စက်,60,U+1005 U+1000 U+103A,MYANMAR LETTER CA | MYANMAR LETTER KA | MYANMAR SIGN ASAT
ၠုၚ,60,U+1060 U+102F U+105A,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
ာဝ်,59,U+102C U+101D U+103A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA | MYANMAR SIGN ASAT
