bigram,count,codepoints,unicode_names
်ဝ,45015,U+103A U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER WA
်ဟ,44801,U+103A U+101F,MYANMAR SIGN ASAT | MYANMAR LETTER HA
ၞေ,44712,U+105E U+1031,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E
သၟ,43868,U+101E U+105F,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL MA
မၞ,43815,U+1019 U+105E,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ညး,43464,U+100A U+1038,MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
ဂက,43152,U+1002 U+1000,MYANMAR LETTER GA | MYANMAR LETTER KA
်၊,42800,U+103A U+104A,MYANMAR SIGN ASAT | MYANMAR SIGN LITTLE SECTION
ာပ,41964,U+102C U+1015,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ာၚ,41297,U+102C U+105A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA
ရာ,41274,U+101B U+102C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA
ၟိ,39807,U+105F U+102D,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I
ပွ,39570,U+1015 U+103D,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL WA
လိ,38956,U+101C U+102D,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
အိ,38733,U+1021 U+102D,MYANMAR LETTER A | MYANMAR VOWEL SIGN I
မဳ,38430,U+1019 U+1033,MYANMAR LETTER MA | MYANMAR VOWEL SIGN MON II
ဂမ,38370,U+1002 U+1019,MYANMAR LETTER GA | MYANMAR LETTER MA
စိ,38012,U+1005 U+102D,MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
ခမ,37580,U+1001 U+1019,MYANMAR LETTER KHA | MYANMAR LETTER MA
ဲမ,37193,U+1032 U+1019,MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
လဝ,37057,U+101C U+101D,MYANMAR LETTER LA | MYANMAR LETTER WA
ိတ,37023,U+102D U+1010,MYANMAR VOWEL SIGN I | MYANMAR LETTER TA
ၞာ,36683,U+105E U+102C,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN AA
ံသ,36614,U+1036 U+101E,MYANMAR SIGN ANUSVARA | MYANMAR LETTER SA
က္,36603,U+1000 U+1039,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA
မန,36412,U+1019 U+1014,MYANMAR LETTER MA | MYANMAR LETTER NA
ာမ,35936,U+102C U+1019,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MA
ပြ,35640,U+1015 U+103C,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA
နူ,35407,U+1014 U+1030,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU
ုံ,34268,U+102F U+1036,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA
ေံ,34185,U+1031 U+1036,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
်ည,34099,U+103A U+100A,MYANMAR SIGN ASAT | MYANMAR LETTER NNYA
ဒး,34032,U+1012 U+1038,MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ပါ,33689,U+1015 U+102B,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA
ံပ,33565,U+1036 U+1015,MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
နာ,33557,U+1014 U+102C,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA
ကာ,33223,U+1000 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN AA
ကြ,32938,U+1000 U+103C,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL RA
ဘာ,32683,U+1018 U+102C,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AA
ုဒ,31754,U+102F U+1012,MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
ၠေ,31718,U+1060 U+1031,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E
တ္,31688,U+1010 U+1039,MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
ံမ,31459,U+1036 U+1019,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
သၞ,31422,U+101E U+105E,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ာသ,31354,U+102C U+101E,MYANMAR VOWEL SIGN AA | MYANMAR LETTER SA
ာက,31299,U+102C U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
ဲသ,31155,U+1032 U+101E,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA
ာဝ,31092,U+102C U+101D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA
တအ,31048,U+1010 U+1021,MYANMAR LETTER TA | MYANMAR LETTER A
ပတ,30954,U+1015 U+1010,MYANMAR LETTER PA | MYANMAR LETTER TA
ံဂ,30674,U+1036 U+1002,MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA
မာ,30629,U+1019 U+102C,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
