bigram,count,codepoints,unicode_names
ာၚ,56501,U+102C U+105A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA
ိတ,55902,U+102D U+1010,MYANMAR VOWEL SIGN I | MYANMAR LETTER TA
ဒး,55294,U+1012 U+1038,MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ဝွ,54787,U+101D U+103D,MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA
မာ,54660,U+1019 U+102C,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
ာပ,54405,U+102C U+1015,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ၠေ,54229,U+1060 U+1031,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E
ဲမ,54044,U+1032 U+1019,MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
ရာ,54007,U+101B U+102C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA
လိ,53708,U+101C U+102D,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
ၠု,53317,U+1060 U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
မၞ,53159,U+1019 U+105E,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ံမ,52325,U+1036 U+1019,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
က္,51511,U+1000 U+1039,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA
စိ,51164,U+1005 U+102D,MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
ံပ,50750,U+1036 U+1015,MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
ံသ,50660,U+1036 U+101E,MYANMAR SIGN ANUSVARA | MYANMAR LETTER SA
ုရ,49060,U+102F U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA
ံတ,49037,U+1036 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
အိ,48550,U+1021 U+102D,MYANMAR LETTER A | MYANMAR VOWEL SIGN I
ကီ,48213,U+1000 U+102E,MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
ပြ,47895,U+1015 U+103C,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA
ပွ,47465,U+1015 U+103D,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL WA
နာ,47187,U+1014 U+102C,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA
တအ,46768,U+1010 U+1021,MYANMAR LETTER TA | MYANMAR LETTER A
်ထ,46742,U+103A U+1011,MYANMAR SIGN ASAT | MYANMAR LETTER THA
သၞ,45770,U+101E U+105E,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ိၚ,45765,U+102D U+105A,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON NGA
ံင,45004,U+1036 U+1004,MYANMAR SIGN ANUSVARA | MYANMAR LETTER NGA
ုဂ,45002,U+102F U+1002,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA
ဲသ,44837,U+1032 U+101E,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA
ဲတ,43680,U+1032 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA
ုဒ,43574,U+102F U+1012,MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
ကာ,43441,U+1000 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN AA
ာက,43165,U+102C U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
ဂမ,42600,U+1002 U+1019,MYANMAR LETTER GA | MYANMAR LETTER MA
ုအ,42571,U+102F U+1021,MYANMAR VOWEL SIGN U | MYANMAR LETTER A
ာမ,42497,U+102C U+1019,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MA
သွ,42247,U+101E U+103D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ပါ,41902,U+1015 U+102B,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA
ဂၠ,41542,U+1002 U+1060,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
တေ,41481,U+1010 U+1031,MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
တ္,41187,U+1010 U+1039,MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
ရိ,40986,U+101B U+102D,MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ေင,40960,U+1031 U+1004,MYANMAR VOWEL SIGN E | MYANMAR LETTER NGA
ုံ,40947,U+102F U+1036,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA
ဘာ,40810,U+1018 U+102C,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AA
ကြ,40782,U+1000 U+103C,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL RA
ုလ,40624,U+102F U+101C,MYANMAR VOWEL SIGN U | MYANMAR LETTER LA
ဲဂ,40452,U+1032 U+1002,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
ပတ,40031,U+1015 U+1010,MYANMAR LETTER PA | MYANMAR LETTER TA
မဳ,39627,U+1019 U+1033,MYANMAR LETTER MA | MYANMAR VOWEL SIGN MON II
ဇၞ,39135,U+1007 U+105E,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဲပ,39097,U+1032 U+1015,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA
ေါ,39072,U+1031 U+102B,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA
နွ,38934,U+1014 U+103D,MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
ာဝ,38699,U+102C U+101D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA
ုသ,38405,U+102F U+101E,MYANMAR VOWEL SIGN U | MYANMAR LETTER SA
ခမ,38294,U+1001 U+1019,MYANMAR LETTER KHA | MYANMAR LETTER MA
းတ,38291,U+1038 U+1010,MYANMAR SIGN VISARGA | MYANMAR LETTER TA
ုမ,37829,U+102F U+1019,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
္ပ,37730,U+1039 U+1015,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
းက,37460,U+1038 U+1000,MYANMAR SIGN VISARGA | MYANMAR LETTER KA
မံ,37443,U+1019 U+1036,MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
ဲအ,37404,U+1032 U+1021,MYANMAR VOWEL SIGN AI | MYANMAR LETTER A
ၟာ,37294,U+105F U+102C,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN AA
ဟီ,37016,U+101F U+102E,MYANMAR LETTER HA | MYANMAR VOWEL SIGN II
ာသ,36460,U+102C U+101E,MYANMAR VOWEL SIGN AA | MYANMAR LETTER SA
လ္,36368,U+101C U+1039,MYANMAR LETTER LA | MYANMAR SIGN VIRAMA
္က,36297,U+1039 U+1000,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA
မိ,36209,U+1019 U+102D,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
အခ,35691,U+1021 U+1001,MYANMAR LETTER A | MYANMAR LETTER KHA
ကူ,35540,U+1000 U+1030,MYANMAR LETTER KA | MYANMAR VOWEL SIGN UU
ွိ,34689,U+103D U+102D,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN I
ၟံ,34466,U+105F U+1036,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA
