file,characters_counted,all_text_length,status
monnews/monnews_20260120_223250_616.txt,4755,5245,ok
monnews/monnews_20260120_223250_2697.txt,15,126,ok
monnews/monnews_20260120_223250_1513.txt,1390,1572,ok
monnews/monnews_20260120_223250_2184.txt,2303,2552,ok
monnews/monnews_20260120_223250_2311.txt,2086,2244,ok
monnews/monnews_20260120_223250_1949.txt,2546,2788,ok
monnews/monnews_20260120_223250_1728.txt,2183,2437,ok
monnews/monnews_20260120_223250_999.txt,6221,6758,ok
monnews/monnews_20260120_223250_2686.txt,1761,2105,ok
monnews/monnews_20260120_223250_1179.txt,3536,3939,ok
monnews/monnews_20260120_223250_468.txt,1478,1672,ok
monnews/monnews_20260120_223250_443.txt,231,264,ok
monnews/monnews_20260120_223250_2724.txt,1986,2188,ok
monnews/monnews_20260120_223250_3567.txt,1367,1519,ok
monnews/monnews_20260120_223250_1437.txt,5689,6447,ok
monnews/monnews_20260120_223250_452.txt,5507,5985,ok
monnews/monnews_20260120_223250_2980.txt,2443,2813,ok
monnews/monnews_20260120_223250_1464.txt,4164,4675,ok
monnews/monnews_20260120_223250_1495.txt,2084,2314,ok
monnews/monnews_20260120_223250_1455.txt,3264,3611,ok
monnews/monnews_20260120_223250_2200.txt,1947,2131,ok
monnews/monnews_20260120_223250_829.txt,1592,1729,ok
monnews/monnews_20260120_223250_1643.txt,8539,9803,ok
monnews/monnews_20260120_223250_1776.txt,2127,2320,ok
monnews/monnews_20260120_223250_2639.txt,2458,2695,ok
monnews/monnews_20260120_223250_94.txt,2230,2412,ok
monnews/monnews_20260120_223250_67.txt,1534,1720,ok
monnews/monnews_20260120_223250_489.txt,8083,8846,ok
monnews/monnews_20260120_223250_2818.txt,1708,1895,ok
monnews/monnews_20260120_223250_1674.txt,2087,2357,ok
monnews/monnews_20260120_223250_907.txt,1906,2131,ok
monnews/monnews_20260120_223250_2405.txt,1458,1602,ok
monnews/monnews_20260120_223250_1280.txt,6144,6882,ok
monnews/monnews_20260120_223250_163.txt,4773,5144,ok
monnews/monnews_20260120_223250_3512.txt,2971,3337,ok
monnews/monnews_20260120_223250_1305.txt,2411,2650,ok
monnews/monnews_20260120_223250_2784.txt,1772,1927,ok
monnews/monnews_20260120_223250_3161.txt,1116,1228,ok
monnews/monnews_20260120_223250_834.txt,1294,1438,ok
monnews/monnews_20260120_223250_2145.txt,2288,2669,ok
monnews/monnews_20260120_223250_604.txt,6629,7028,ok
monnews/monnews_20260120_223250_3410.txt,2295,2591,ok
monnews/monnews_20260120_223250_3476.txt,3222,3542,ok
monnews/monnews_20260120_223250_866.txt,1409,1699,ok
monnews/monnews_20260120_223250_672.txt,2111,2342,ok
monnews/monnews_20260120_223250_1593.txt,1794,1991,ok
monnews/monnews_20260120_223250_1905.txt,2487,2808,ok
monnews/monnews_20260120_223250_1286.txt,1603,1738,ok
monnews/monnews_20260120_223250_3131.txt,1987,2206,ok
monnews/monnews_20260120_223250_1045.txt,1670,1811,ok
monnews/monnews_20260120_223250_1914.txt,2183,2400,ok
monnews/monnews_20260120_223250_1153.txt,1878,2238,ok
monnews/monnews_20260120_223250_2006.txt,2124,2259,ok
monnews/monnews_20260120_223250_368.txt,4744,5250,ok
monnews/monnews_20260120_223250_2171.txt,2143,2382,ok
monnews/monnews_20260120_223250_1981.txt,1658,1841,ok
monnews/monnews_20260120_223250_628.txt,1936,2129,ok
monnews/monnews_20260120_223250_3191.txt,1893,2050,ok
monnews/monnews_20260120_223250_2047.txt,1770,1967,ok
monnews/monnews_20260120_223250_3112.txt,2426,2687,ok
monnews/monnews_20260120_223250_218.txt,1892,2022,ok
monnews/monnews_20260120_223250_3357.txt,2759,3065,ok
monnews/monnews_20260120_223250_1001.txt,1493,1633,ok
monnews/monnews_20260120_223250_2410.txt,2604,2769,ok
monnews/monnews_20260120_223250_1807.txt,2661,2870,ok
monnews/monnews_20260120_223250_498.txt,1810,1944,ok
monnews/monnews_20260120_223250_326.txt,1822,1943,ok
monnews/monnews_20260120_223250_3422.txt,12540,13543,ok
monnews/monnews_20260120_223250_2699.txt,2345,2563,ok
monnews/monnews_20260120_223250_2479.txt,1431,1605,ok
monnews/monnews_20260120_223250_532.txt,5118,5541,ok
monnews/monnews_20260120_223250_1117.txt,1484,1643,ok
monnews/monnews_20260120_223250_565.txt,1449,1597,ok
