bigram,count,codepoints,unicode_names
်ည,65570,U+103A U+100A,MYANMAR SIGN ASAT | MYANMAR LETTER NNYA
ၠု,65239,U+1060 U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
ာပ,64725,U+102C U+1015,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
ဒး,64233,U+1012 U+1038,MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ဝွ,63755,U+101D U+103D,MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA
ပြ,63254,U+1015 U+103C,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA
ံပ,62776,U+1036 U+1015,MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
သၞ,61806,U+101E U+105E,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ံမ,61762,U+1036 U+1019,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
%9,61430,U+0025 U+0039,PERCENT SIGN | DIGIT NINE
ံသ,61428,U+1036 U+101E,MYANMAR SIGN ANUSVARA | MYANMAR LETTER SA
ပွ,60837,U+1015 U+103D,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL WA
to,59822,U+0074 U+006F,LATIN SMALL LETTER T | LATIN SMALL LETTER O
th,59691,U+0074 U+0068,LATIN SMALL LETTER T | LATIN SMALL LETTER H
ံင,59460,U+1036 U+1004,MYANMAR SIGN ANUSVARA | MYANMAR LETTER NGA
ဂၠ,59394,U+1002 U+1060,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
n),59390,U+006E U+0029,LATIN SMALL LETTER N | RIGHT PARENTHESIS
တအ,59052,U+1010 U+1021,MYANMAR LETTER TA | MYANMAR LETTER A
သွ,58874,U+101E U+103D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ရ၊,58467,U+101B U+104A,MYANMAR LETTER RA | MYANMAR SIGN LITTLE SECTION
an,58269,U+0061 U+006E,LATIN SMALL LETTER A | LATIN SMALL LETTER N
နာ,57415,U+1014 U+102C,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA
အိ,57339,U+1021 U+102D,MYANMAR LETTER A | MYANMAR VOWEL SIGN I
်ထ,57120,U+103A U+1011,MYANMAR SIGN ASAT | MYANMAR LETTER THA
ံတ,56631,U+1036 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
ကာ,56201,U+1000 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN AA
ိၚ,55480,U+102D U+105A,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON NGA
ာမ,54938,U+102C U+1019,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MA
ုဒ,54794,U+102F U+1012,MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
ပါ,54194,U+1015 U+102B,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA
ဲသ,54029,U+1032 U+101E,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA
ုရ,53972,U+102F U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA
(n,53884,U+0028 U+006E,LEFT PARENTHESIS | LATIN SMALL LETTER N
တေ,52522,U+1010 U+1031,MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ုအ,52449,U+102F U+1021,MYANMAR VOWEL SIGN U | MYANMAR LETTER A
he,52068,U+0068 U+0065,LATIN SMALL LETTER H | LATIN SMALL LETTER E
ာက,51676,U+102C U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
or,51676,U+006F U+0072,LATIN SMALL LETTER O | LATIN SMALL LETTER R
ကီ,51646,U+1000 U+102E,MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
နွ,51611,U+1014 U+103D,MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
တ္,51482,U+1010 U+1039,MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
ကြ,51431,U+1000 U+103C,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL RA
ုလ,51179,U+102F U+101C,MYANMAR VOWEL SIGN U | MYANMAR LETTER LA
ုဂ,51109,U+102F U+1002,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA
ရိ,50959,U+101B U+102D,MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ေါ,50096,U+1031 U+102B,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA
ာဝ,50078,U+102C U+101D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA
ဘာ,49756,U+1018 U+102C,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AA
re,49519,U+0072 U+0065,LATIN SMALL LETTER R | LATIN SMALL LETTER E
ဂမ,49179,U+1002 U+1019,MYANMAR LETTER GA | MYANMAR LETTER MA
ti,49013,U+0074 U+0069,LATIN SMALL LETTER T | LATIN SMALL LETTER I
ဲတ,48956,U+1032 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA
ာသ,48764,U+102C U+101E,MYANMAR VOWEL SIGN AA | MYANMAR LETTER SA
္က,48481,U+1039 U+1000,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA
လ္,48264,U+101C U+1039,MYANMAR LETTER LA | MYANMAR SIGN VIRAMA
ုံ,48165,U+102F U+1036,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA
