bigram,count,codepoints,unicode_names
ဴ🙏,5,U+1034 U+1F64F,MYANMAR VOWEL SIGN MON O | PERSON WITH FOLDED HANDS
Rm,5,U+0052 U+006D,LATIN CAPITAL LETTER R | LATIN SMALL LETTER M
T&,5,U+0054 U+0026,LATIN CAPITAL LETTER T | AMPERSAND
…အ,5,U+2026 U+1021,HORIZONTAL ELLIPSIS | MYANMAR LETTER A
ုu,5,U+102F U+0075,MYANMAR VOWEL SIGN U | LATIN SMALL LETTER U
၈ထ,5,U+1048 U+1011,MYANMAR DIGIT EIGHT | MYANMAR LETTER THA
#ဖ,5,U+0023 U+1016,NUMBER SIGN | MYANMAR LETTER PHA
ဴ',5,U+1034 U+0027,MYANMAR VOWEL SIGN MON O | APOSTROPHE
👇#,5,U+1F447 U+0023,WHITE DOWN POINTING BACKHAND INDEX | NUMBER SIGN
ဉု,5,U+1009 U+102F,MYANMAR LETTER NYA | MYANMAR VOWEL SIGN U
ဂ၅,5,U+1002 U+1045,MYANMAR LETTER GA | MYANMAR DIGIT FIVE
ှ.,5,U+103E U+002E,MYANMAR CONSONANT SIGN MEDIAL HA | FULL STOP
´ဂ,5,U+00B4 U+1002,ACUTE ACCENT | MYANMAR LETTER GA
Ml,5,U+004D U+006C,LATIN CAPITAL LETTER M | LATIN SMALL LETTER L
E],5,U+0045 U+005D,LATIN CAPITAL LETTER E | RIGHT SQUARE BRACKET
lထ,5,U+006C U+1011,LATIN SMALL LETTER L | MYANMAR LETTER THA
2[,5,U+0032 U+005B,DIGIT TWO | LEFT SQUARE BRACKET
v],5,U+0076 U+005D,LATIN SMALL LETTER V | RIGHT SQUARE BRACKET
!ခ,5,U+0021 U+1001,EXCLAMATION MARK | MYANMAR LETTER KHA
ူo,5,U+1030 U+006F,MYANMAR VOWEL SIGN UU | LATIN SMALL LETTER O
]1,5,U+005D U+0031,RIGHT SQUARE BRACKET | DIGIT ONE
ဎဳ,5,U+100E U+1033,MYANMAR LETTER DDHA | MYANMAR VOWEL SIGN MON II
ဏၞ,5,U+100F U+105E,MYANMAR LETTER NNA | MYANMAR CONSONANT SIGN MON MEDIAL NA
-ါ,5,U+002D U+102B,HYPHEN-MINUS | MYANMAR VOWEL SIGN TALL AA
]K,5,U+005D U+004B,RIGHT SQUARE BRACKET | LATIN CAPITAL LETTER K
g5,5,U+0067 U+0035,LATIN SMALL LETTER G | DIGIT FIVE
zc,5,U+007A U+0063,LATIN SMALL LETTER Z | LATIN SMALL LETTER C
ဏဌ,5,U+100F U+100C,MYANMAR LETTER NNA | MYANMAR LETTER TTHA
ဲd,5,U+1032 U+0064,MYANMAR VOWEL SIGN AI | LATIN SMALL LETTER D
Kf,5,U+004B U+0066,LATIN CAPITAL LETTER K | LATIN SMALL LETTER F
်j,5,U+103A U+006A,MYANMAR SIGN ASAT | LATIN SMALL LETTER J
oခ,5,U+006F U+1001,LATIN SMALL LETTER O | MYANMAR LETTER KHA
ပ1,5,U+1015 U+0031,MYANMAR LETTER PA | DIGIT ONE
b?,5,U+0062 U+003F,LATIN SMALL LETTER B | QUESTION MARK
1g,5,U+0031 U+0067,DIGIT ONE | LATIN SMALL LETTER G
"၊,",5,U+104A U+002C,MYANMAR SIGN LITTLE SECTION | COMMA
fလ,5,U+0066 U+101C,LATIN SMALL LETTER F | MYANMAR LETTER LA
fဖ,5,U+0066 U+1016,LATIN SMALL LETTER F | MYANMAR LETTER PHA
}ဖ,5,U+007D U+1016,RIGHT CURLY BRACKET | MYANMAR LETTER PHA
fဍ,5,U+0066 U+100D,LATIN SMALL LETTER F | MYANMAR LETTER DDA
rဓ,5,U+0072 U+1013,LATIN SMALL LETTER R | MYANMAR LETTER DHA
mဗ,5,U+006D U+1017,LATIN SMALL LETTER M | MYANMAR LETTER BA
G{,5,U+0047 U+007B,LATIN CAPITAL LETTER G | LEFT CURLY BRACKET
}M,5,U+007D U+004D,RIGHT CURLY BRACKET | LATIN CAPITAL LETTER M
ဘဍ,5,U+1018 U+100D,MYANMAR LETTER BHA | MYANMAR LETTER DDA
dဘ,5,U+0064 U+1018,LATIN SMALL LETTER D | MYANMAR LETTER BHA
jc,5,U+006A U+0063,LATIN SMALL LETTER J | LATIN SMALL LETTER C
သ1,5,U+101E U+0031,MYANMAR LETTER SA | DIGIT ONE
သ2,5,U+101E U+0032,MYANMAR LETTER SA | DIGIT TWO
ာ9,5,U+102C U+0039,MYANMAR VOWEL SIGN AA | DIGIT NINE
?W,5,U+003F U+0057,QUESTION MARK | LATIN CAPITAL LETTER W
hဒ,5,U+0068 U+1012,LATIN SMALL LETTER H | MYANMAR LETTER DA
0g,5,U+0030 U+0067,DIGIT ZERO | LATIN SMALL LETTER G
Mh,5,U+004D U+0068,LATIN CAPITAL LETTER M | LATIN SMALL LETTER H
3{,5,U+0033 U+007B,DIGIT THREE | LEFT CURLY BRACKET
!ယ,5,U+0021 U+101A,EXCLAMATION MARK | MYANMAR LETTER YA
}R,5,U+007D U+0052,RIGHT CURLY BRACKET | LATIN CAPITAL LETTER R
!လ,5,U+0021 U+101C,EXCLAMATION MARK | MYANMAR LETTER LA
ထှ,5,U+1011 U+103E,MYANMAR LETTER THA | MYANMAR CONSONANT SIGN MEDIAL HA
w[,5,U+0077 U+005B,LATIN SMALL LETTER W | LEFT SQUARE BRACKET
}ထ,5,U+007D U+1011,RIGHT CURLY BRACKET | MYANMAR LETTER THA
Lr,5,U+004C U+0072,LATIN CAPITAL LETTER L | LATIN SMALL LETTER R
!m,5,U+0021 U+006D,EXCLAMATION MARK | LATIN SMALL LETTER M
fန,5,U+0066 U+1014,LATIN SMALL LETTER F | MYANMAR LETTER NA
်q,5,U+103A U+0071,MYANMAR SIGN ASAT | LATIN SMALL LETTER Q
YU,5,U+0059 U+0055,LATIN CAPITAL LETTER Y | LATIN CAPITAL LETTER U
f|,5,U+0066 U+007C,LATIN SMALL LETTER F | VERTICAL LINE
ာု,5,U+102C U+102F,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN U
vမ,5,U+0076 U+1019,LATIN SMALL LETTER V | MYANMAR LETTER MA
YD,5,U+0059 U+0044,LATIN CAPITAL LETTER Y | LATIN CAPITAL LETTER D
ၛ၊,5,U+105B U+104A,MYANMAR LETTER MON JHA | MYANMAR SIGN LITTLE SECTION
၊ၠ,5,U+104A U+1060,MYANMAR SIGN LITTLE SECTION | MYANMAR CONSONANT SIGN MON MEDIAL LA
စ+,5,U+1005 U+002B,MYANMAR LETTER CA | PLUS SIGN
ပ+,5,U+1015 U+002B,MYANMAR LETTER PA | PLUS SIGN
ဖ/,5,U+1016 U+002F,MYANMAR LETTER PHA | SOLIDUS
έχ,5,U+03AD U+03C7,GREEK SMALL LETTER EPSILON WITH TONOS | GREEK SMALL LETTER CHI
χν,5,U+03C7 U+03BD,GREEK SMALL LETTER CHI | GREEK SMALL LETTER NU
νη,5,U+03BD U+03B7,GREEK SMALL LETTER NU | GREEK SMALL LETTER ETA
η(,5,U+03B7 U+0028,GREEK SMALL LETTER ETA | LEFT PARENTHESIS
ႝစ,5,U+109D U+1005,MYANMAR VOWEL SIGN AITON AI | MYANMAR LETTER CA
ဇ=,5,U+1007 U+003D,MYANMAR LETTER JA | EQUALS SIGN
a၁,5,U+0061 U+1041,LATIN SMALL LETTER A | MYANMAR DIGIT ONE
mɔ,5,U+006D U+0254,LATIN SMALL LETTER M | LATIN SMALL LETTER OPEN O
̃],5,U+0303 U+005D,COMBINING TILDE | RIGHT SQUARE BRACKET
a၂,5,U+0061 U+1042,LATIN SMALL LETTER A | MYANMAR DIGIT TWO
4‚,5,U+0034 U+201A,DIGIT FOUR | SINGLE LOW-9 QUOTATION MARK
1‚,5,U+0031 U+201A,DIGIT ONE | SINGLE LOW-9 QUOTATION MARK
စh,5,U+1005 U+0068,MYANMAR LETTER CA | LATIN SMALL LETTER H
[h,5,U+005B U+0068,LEFT SQUARE BRACKET | LATIN SMALL LETTER H
ှဣ,5,U+103E U+1023,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR LETTER I
သဣ,5,U+101E U+1023,MYANMAR LETTER SA | MYANMAR LETTER I
ဎဏ,5,U+100E U+100F,MYANMAR LETTER DDHA | MYANMAR LETTER NNA
ညR,5,U+100A U+0052,MYANMAR LETTER NNYA | LATIN CAPITAL LETTER R
CY,5,U+0043 U+0059,LATIN CAPITAL LETTER C | LATIN CAPITAL LETTER Y
ခ/,5,U+1001 U+002F,MYANMAR LETTER KHA | SOLIDUS
C၆,5,U+0043 U+1046,LATIN CAPITAL LETTER C | MYANMAR DIGIT SIX
႔မ,5,U+1094 U+1019,MYANMAR SHAN DIGIT FOUR | MYANMAR LETTER MA
ူ္,5,U+1030 U+1039,MYANMAR VOWEL SIGN UU | MYANMAR SIGN VIRAMA
mယ,5,U+006D U+101A,LATIN SMALL LETTER M | MYANMAR LETTER YA
(ြ,5,U+0028 U+103C,LEFT PARENTHESIS | MYANMAR CONSONANT SIGN MEDIAL RA
"အ,",5,U+1021 U+002C,MYANMAR LETTER A | COMMA
Oထ,5,U+004F U+1011,LATIN CAPITAL LETTER O | MYANMAR LETTER THA
ာe,5,U+102C U+0065,MYANMAR VOWEL SIGN AA | LATIN SMALL LETTER E
ံe,5,U+1036 U+0065,MYANMAR SIGN ANUSVARA | LATIN SMALL LETTER E
+၄,5,U+002B U+1044,PLUS SIGN | MYANMAR DIGIT FOUR
ါP,5,U+102B U+0050,MYANMAR VOWEL SIGN TALL AA | LATIN CAPITAL LETTER P
C&,5,U+0043 U+0026,LATIN CAPITAL LETTER C | AMPERSAND
pအ,5,U+0070 U+1021,LATIN SMALL LETTER P | MYANMAR LETTER A
Rd,5,U+0052 U+0064,LATIN CAPITAL LETTER R | LATIN SMALL LETTER D
YT,5,U+0059 U+0054,LATIN CAPITAL LETTER Y | LATIN CAPITAL LETTER T
ၢတ,5,U+1062 U+1010,MYANMAR VOWEL SIGN SGAW KAREN EU | MYANMAR LETTER TA
္ၿ,5,U+1039 U+107F,MYANMAR SIGN VIRAMA | MYANMAR LETTER SHAN BA
မႏ,5,U+1019 U+108F,MYANMAR LETTER MA | MYANMAR SIGN RUMAI PALAUNG TONE-5
ႆံ,5,U+1086 U+1036,MYANMAR VOWEL SIGN SHAN FINAL Y | MYANMAR SIGN ANUSVARA
႘ဒ,5,U+1098 U+1012,MYANMAR SHAN DIGIT EIGHT | MYANMAR LETTER DA
ာျ,5,U+102C U+103B,MYANMAR VOWEL SIGN AA | MYANMAR CONSONANT SIGN MEDIAL YA
႘သ,5,U+1098 U+101E,MYANMAR SHAN DIGIT EIGHT | MYANMAR LETTER SA
JO,5,U+004A U+004F,LATIN CAPITAL LETTER J | LATIN CAPITAL LETTER O
tဍ,5,U+0074 U+100D,LATIN SMALL LETTER T | MYANMAR LETTER DDA
5ဍ,5,U+0035 U+100D,DIGIT FIVE | MYANMAR LETTER DDA
၊ု,5,U+104A U+102F,MYANMAR SIGN LITTLE SECTION | MYANMAR VOWEL SIGN U
၊ီ,5,U+104A U+102E,MYANMAR SIGN LITTLE SECTION | MYANMAR VOWEL SIGN II
Rအ,5,U+0052 U+1021,LATIN CAPITAL LETTER R | MYANMAR LETTER A
မဠ,5,U+1019 U+1020,MYANMAR LETTER MA | MYANMAR LETTER LLA
=D,5,U+003D U+0044,EQUALS SIGN | LATIN CAPITAL LETTER D
၀x,5,U+1040 U+0078,MYANMAR DIGIT ZERO | LATIN SMALL LETTER X
x၃,5,U+0078 U+1043,LATIN SMALL LETTER X | MYANMAR DIGIT THREE
ၠ၃,5,U+1060 U+1043,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR DIGIT THREE
Aယ,5,U+0041 U+101A,LATIN CAPITAL LETTER A | MYANMAR LETTER YA
+O,5,U+002B U+004F,PLUS SIGN | LATIN CAPITAL LETTER O
KR,5,U+004B U+0052,LATIN CAPITAL LETTER K | LATIN CAPITAL LETTER R
ဴ၇,5,U+1034 U+1047,MYANMAR VOWEL SIGN MON O | MYANMAR DIGIT SEVEN
/ၝ,5,U+002F U+105D,SOLIDUS | MYANMAR LETTER MON BBE
ႝဗ,5,U+109D U+1017,MYANMAR VOWEL SIGN AITON AI | MYANMAR LETTER BA
႘လ,5,U+1098 U+101C,MYANMAR SHAN DIGIT EIGHT | MYANMAR LETTER LA
ႝမ,5,U+109D U+1019,MYANMAR VOWEL SIGN AITON AI | MYANMAR LETTER MA
Bသ,5,U+0042 U+101E,LATIN CAPITAL LETTER B | MYANMAR LETTER SA
KH,5,U+004B U+0048,LATIN CAPITAL LETTER K | LATIN CAPITAL LETTER H
ႊစ,5,U+108A U+1005,MYANMAR SIGN SHAN TONE-6 | MYANMAR LETTER CA
1အ,5,U+0031 U+1021,DIGIT ONE | MYANMAR LETTER A
ဒ၃,5,U+1012 U+1043,MYANMAR LETTER DA | MYANMAR DIGIT THREE
ဲူ,5,U+1032 U+1030,MYANMAR VOWEL SIGN AI | MYANMAR VOWEL SIGN UU
NJ,5,U+004E U+004A,LATIN CAPITAL LETTER N | LATIN CAPITAL LETTER J
CK,5,U+0043 U+004B,LATIN CAPITAL LETTER C | LATIN CAPITAL LETTER K
Nဏ,5,U+004E U+100F,LATIN CAPITAL LETTER N | MYANMAR LETTER NNA
pဗ,5,U+0070 U+1017,LATIN SMALL LETTER P | MYANMAR LETTER BA
ZR,5,U+005A U+0052,LATIN CAPITAL LETTER Z | LATIN CAPITAL LETTER R
၊Z,5,U+104A U+005A,MYANMAR SIGN LITTLE SECTION | LATIN CAPITAL LETTER Z
ZN,5,U+005A U+004E,LATIN CAPITAL LETTER Z | LATIN CAPITAL LETTER N
M၊,5,U+004D U+104A,LATIN CAPITAL LETTER M | MYANMAR SIGN LITTLE SECTION
Uဖ,5,U+0055 U+1016,LATIN CAPITAL LETTER U | MYANMAR LETTER PHA
Uၜ,5,U+0055 U+105C,LATIN CAPITAL LETTER U | MYANMAR LETTER MON BBA
ေ×,5,U+1031 U+00D7,MYANMAR VOWEL SIGN E | MULTIPLICATION SIGN
႔ဖ,5,U+1094 U+1016,MYANMAR SHAN DIGIT FOUR | MYANMAR LETTER PHA
JB,5,U+004A U+0042,LATIN CAPITAL LETTER J | LATIN CAPITAL LETTER B
ဥဟ,5,U+1025 U+101F,MYANMAR LETTER U | MYANMAR LETTER HA
Pဥ,5,U+0050 U+1025,LATIN CAPITAL LETTER P | MYANMAR LETTER U
ထျ,5,U+1011 U+103B,MYANMAR LETTER THA | MYANMAR CONSONANT SIGN MEDIAL YA
႕၏,5,U+1095 U+104F,MYANMAR SHAN DIGIT FIVE | MYANMAR SYMBOL GENITIVE
yQ,5,U+0079 U+0051,LATIN SMALL LETTER Y | LATIN CAPITAL LETTER Q
ရC,5,U+101B U+0043,MYANMAR LETTER RA | LATIN CAPITAL LETTER C
Pဍ,5,U+0050 U+100D,LATIN CAPITAL LETTER P | MYANMAR LETTER DDA
Cဌ,5,U+0043 U+100C,LATIN CAPITAL LETTER C | MYANMAR LETTER TTHA
့ည,5,U+1037 U+100A,MYANMAR SIGN DOT BELOW | MYANMAR LETTER NNYA
စI,5,U+1005 U+0049,MYANMAR LETTER CA | LATIN CAPITAL LETTER I
Md,5,U+004D U+0064,LATIN CAPITAL LETTER M | LATIN SMALL LETTER D
ေC,5,U+1031 U+0043,MYANMAR VOWEL SIGN E | LATIN CAPITAL LETTER C
B;,5,U+0042 U+003B,LATIN CAPITAL LETTER B | SEMICOLON
႔လ,5,U+1094 U+101C,MYANMAR SHAN DIGIT FOUR | MYANMAR LETTER LA
ိp,5,U+102D U+0070,MYANMAR VOWEL SIGN I | LATIN SMALL LETTER P
ြဣ,5,U+103C U+1023,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER I
ံႏ,5,U+1036 U+108F,MYANMAR SIGN ANUSVARA | MYANMAR SIGN RUMAI PALAUNG TONE-5
ၞ့,5,U+105E U+1037,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN DOT BELOW
ဓၠ,5,U+1013 U+1060,MYANMAR LETTER DHA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ဖဓ,5,U+1016 U+1013,MYANMAR LETTER PHA | MYANMAR LETTER DHA
၇ထ,5,U+1047 U+1011,MYANMAR DIGIT SEVEN | MYANMAR LETTER THA
ဿဖ,5,U+103F U+1016,MYANMAR LETTER GREAT SA | MYANMAR LETTER PHA
6ရ,5,U+0036 U+101B,DIGIT SIX | MYANMAR LETTER RA
စU,5,U+1005 U+0055,MYANMAR LETTER CA | LATIN CAPITAL LETTER U
ဆ၉,5,U+1006 U+1049,MYANMAR LETTER CHA | MYANMAR DIGIT NINE
RY,5,U+0052 U+0059,LATIN CAPITAL LETTER R | LATIN CAPITAL LETTER Y
R3,5,U+0052 U+0033,LATIN CAPITAL LETTER R | DIGIT THREE
ဝ့,5,U+101D U+1037,MYANMAR LETTER WA | MYANMAR SIGN DOT BELOW
ီၝ,5,U+102E U+105D,MYANMAR VOWEL SIGN II | MYANMAR LETTER MON BBE
%ဏ,5,U+0025 U+100F,PERCENT SIGN | MYANMAR LETTER NNA
လ/,5,U+101C U+002F,MYANMAR LETTER LA | SOLIDUS
ဌ၃,5,U+100C U+1043,MYANMAR LETTER TTHA | MYANMAR DIGIT THREE
pခ,5,U+0070 U+1001,LATIN SMALL LETTER P | MYANMAR LETTER KHA
Rလ,5,U+0052 U+101C,LATIN CAPITAL LETTER R | MYANMAR LETTER LA
Bဗ,5,U+0042 U+1017,LATIN CAPITAL LETTER B | MYANMAR LETTER BA
Eရ,5,U+0045 U+101B,LATIN CAPITAL LETTER E | MYANMAR LETTER RA
ံ`,5,U+1036 U+0060,MYANMAR SIGN ANUSVARA | GRAVE ACCENT
ၠှ,5,U+1060 U+103E,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR CONSONANT SIGN MEDIAL HA
ငဇ,5,U+1004 U+1007,MYANMAR LETTER NGA | MYANMAR LETTER JA
tာ,5,U+0074 U+102C,LATIN SMALL LETTER T | MYANMAR VOWEL SIGN AA
ဴာ,5,U+1034 U+102C,MYANMAR VOWEL SIGN MON O | MYANMAR VOWEL SIGN AA
ဘဆ,5,U+1018 U+1006,MYANMAR LETTER BHA | MYANMAR LETTER CHA
ဲြ,5,U+1032 U+103C,MYANMAR VOWEL SIGN AI | MYANMAR CONSONANT SIGN MEDIAL RA
်z,5,U+103A U+007A,MYANMAR SIGN ASAT | LATIN SMALL LETTER Z
ံွ,5,U+1036 U+103D,MYANMAR SIGN ANUSVARA | MYANMAR CONSONANT SIGN MEDIAL WA
ငင,5,U+1004 U+1004,MYANMAR LETTER NGA | MYANMAR LETTER NGA
"ွ""",5,U+103D U+0022,MYANMAR CONSONANT SIGN MEDIAL WA | QUOTATION MARK
ငီ,5,U+1004 U+102E,MYANMAR LETTER NGA | MYANMAR VOWEL SIGN II
်ါ,5,U+103A U+102B,MYANMAR SIGN ASAT | MYANMAR VOWEL SIGN TALL AA
C6,5,U+0043 U+0036,LATIN CAPITAL LETTER C | DIGIT SIX
8သ,5,U+0038 U+101E,DIGIT EIGHT | MYANMAR LETTER SA
Y(,5,U+0059 U+0028,LATIN CAPITAL LETTER Y | LEFT PARENTHESIS
ရT,5,U+101B U+0054,MYANMAR LETTER RA | LATIN CAPITAL LETTER T
၉×,5,U+1049 U+00D7,MYANMAR DIGIT NINE | MULTIPLICATION SIGN
Kဟ,5,U+004B U+101F,LATIN CAPITAL LETTER K | MYANMAR LETTER HA
ျS,5,U+103B U+0053,MYANMAR CONSONANT SIGN MEDIAL YA | LATIN CAPITAL LETTER S
nဏ,5,U+006E U+100F,LATIN SMALL LETTER N | MYANMAR LETTER NNA
6၊,5,U+0036 U+104A,DIGIT SIX | MYANMAR SIGN LITTLE SECTION
ဠ်,5,U+1020 U+103A,MYANMAR LETTER LLA | MYANMAR SIGN ASAT
ၐတ,5,U+1050 U+1010,MYANMAR LETTER SHA | MYANMAR LETTER TA
sဏ,5,U+0073 U+100F,LATIN SMALL LETTER S | MYANMAR LETTER NNA
ျဌ,5,U+103B U+100C,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER TTHA
စK,5,U+1005 U+004B,MYANMAR LETTER CA | LATIN CAPITAL LETTER K
ိဧ,5,U+102D U+1027,MYANMAR VOWEL SIGN I | MYANMAR LETTER E
>M,5,U+003E U+004D,GREATER-THAN SIGN | LATIN CAPITAL LETTER M
႔န,5,U+1094 U+1014,MYANMAR SHAN DIGIT FOUR | MYANMAR LETTER NA
၅+,5,U+1045 U+002B,MYANMAR DIGIT FIVE | PLUS SIGN
)·,5,U+0029 U+00B7,RIGHT PARENTHESIS | MIDDLE DOT
မC,5,U+1019 U+0043,MYANMAR LETTER MA | LATIN CAPITAL LETTER C
J-,5,U+004A U+002D,LATIN CAPITAL LETTER J | HYPHEN-MINUS
Oခ,5,U+004F U+1001,LATIN CAPITAL LETTER O | MYANMAR LETTER KHA
စE,5,U+1005 U+0045,MYANMAR LETTER CA | LATIN CAPITAL LETTER E
EX,5,U+0045 U+0058,LATIN CAPITAL LETTER E | LATIN CAPITAL LETTER X
ဒA,5,U+1012 U+0041,MYANMAR LETTER DA | LATIN CAPITAL LETTER A
က၉,5,U+1000 U+1049,MYANMAR LETTER KA | MYANMAR DIGIT NINE
ဵြ,5,U+1035 U+103C,MYANMAR VOWEL SIGN E ABOVE | MYANMAR CONSONANT SIGN MEDIAL RA
A;,5,U+0041 U+003B,LATIN CAPITAL LETTER A | SEMICOLON
၂ဌ,5,U+1042 U+100C,MYANMAR DIGIT TWO | MYANMAR LETTER TTHA
Sန,5,U+0053 U+1014,LATIN CAPITAL LETTER S | MYANMAR LETTER NA
?ၜ,5,U+003F U+105C,QUESTION MARK | MYANMAR LETTER MON BBA
ေဉ,5,U+1031 U+1009,MYANMAR VOWEL SIGN E | MYANMAR LETTER NYA
ဵယ,5,U+1035 U+101A,MYANMAR VOWEL SIGN E ABOVE | MYANMAR LETTER YA
xဇ,5,U+0078 U+1007,LATIN SMALL LETTER X | MYANMAR LETTER JA
-?,5,U+002D U+003F,HYPHEN-MINUS | QUESTION MARK
ိC,5,U+102D U+0043,MYANMAR VOWEL SIGN I | LATIN CAPITAL LETTER C
Nဝ,5,U+004E U+101D,LATIN CAPITAL LETTER N | MYANMAR LETTER WA
RK,5,U+0052 U+004B,LATIN CAPITAL LETTER R | LATIN CAPITAL LETTER K
ရJ,5,U+101B U+004A,MYANMAR LETTER RA | LATIN CAPITAL LETTER J
ၞ္,5,U+105E U+1039,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN VIRAMA
fဝ,5,U+0066 U+101D,LATIN SMALL LETTER F | MYANMAR LETTER WA
ဩဟ,5,U+1029 U+101F,MYANMAR LETTER O | MYANMAR LETTER HA
e၁,5,U+0065 U+1041,LATIN SMALL LETTER E | MYANMAR DIGIT ONE
7ဗ,5,U+0037 U+1017,DIGIT SEVEN | MYANMAR LETTER BA
6ဝ,5,U+0036 U+101D,DIGIT SIX | MYANMAR LETTER WA
pဟ,5,U+0070 U+101F,LATIN SMALL LETTER P | MYANMAR LETTER HA
မA,5,U+1019 U+0041,MYANMAR LETTER MA | LATIN CAPITAL LETTER A
ၜဒ,5,U+105C U+1012,MYANMAR LETTER MON BBA | MYANMAR LETTER DA
ဢာ,5,U+1022 U+102C,MYANMAR LETTER SHAN A | MYANMAR VOWEL SIGN AA
พ็,5,U+0E1E U+0E47,THAI CHARACTER PHO PHAN | THAI CHARACTER MAITAIKHU
์(,5,U+0E4C U+0028,THAI CHARACTER THANTHAKHAT | LEFT PARENTHESIS
Mb,5,U+004D U+0062,LATIN CAPITAL LETTER M | LATIN SMALL LETTER B
ဌ/,5,U+100C U+002F,MYANMAR LETTER TTHA | SOLIDUS
(ဠ,5,U+0028 U+1020,LEFT PARENTHESIS | MYANMAR LETTER LLA
o+,5,U+006F U+002B,LATIN SMALL LETTER O | PLUS SIGN
့၁,5,U+1037 U+1041,MYANMAR SIGN DOT BELOW | MYANMAR DIGIT ONE
လ၃,5,U+101C U+1043,MYANMAR LETTER LA | MYANMAR DIGIT THREE
K=,5,U+004B U+003D,LATIN CAPITAL LETTER K | EQUALS SIGN
ဿဍ,5,U+103F U+100D,MYANMAR LETTER GREAT SA | MYANMAR LETTER DDA
နI,5,U+1014 U+0049,MYANMAR LETTER NA | LATIN CAPITAL LETTER I
ัฐ,5,U+0E31 U+0E10,THAI CHARACTER MAI HAN-AKAT | THAI CHARACTER THO THAN
ไล,5,U+0E44 U+0E25,THAI CHARACTER SARA AI MAIMALAI | THAI CHARACTER LO LING
းf,5,U+1038 U+0066,MYANMAR SIGN VISARGA | LATIN SMALL LETTER F
m%,5,U+006D U+0025,LATIN SMALL LETTER M | PERCENT SIGN
งT,5,U+0E07 U+0054,THAI CHARACTER NGO NGU | LATIN CAPITAL LETTER T
นะ,5,U+0E19 U+0E30,THAI CHARACTER NO NU | THAI CHARACTER SARA A
။@,5,U+104B U+0040,MYANMAR SIGN SECTION | COMMERCIAL AT
j/,5,U+006A U+002F,LATIN SMALL LETTER J | SOLIDUS
Tj,5,U+0054 U+006A,LATIN CAPITAL LETTER T | LATIN SMALL LETTER J
ဴh,5,U+1034 U+0068,MYANMAR VOWEL SIGN MON O | LATIN SMALL LETTER H
BK,5,U+0042 U+004B,LATIN CAPITAL LETTER B | LATIN CAPITAL LETTER K
pY,5,U+0070 U+0059,LATIN SMALL LETTER P | LATIN CAPITAL LETTER Y
l5,5,U+006C U+0035,LATIN SMALL LETTER L | DIGIT FIVE
p5,5,U+0070 U+0035,LATIN SMALL LETTER P | DIGIT FIVE
_က,5,U+005F U+1000,LOW LINE | MYANMAR LETTER KA
ံ_,5,U+1036 U+005F,MYANMAR SIGN ANUSVARA | LOW LINE
6j,5,U+0036 U+006A,DIGIT SIX | LATIN SMALL LETTER J
"""ဩ",5,U+0022 U+1029,QUOTATION MARK | MYANMAR LETTER O
ံX,5,U+1036 U+0058,MYANMAR SIGN ANUSVARA | LATIN CAPITAL LETTER X
$U,5,U+0024 U+0055,DOLLAR SIGN | LATIN CAPITAL LETTER U
i။,5,U+0069 U+104B,LATIN SMALL LETTER I | MYANMAR SIGN SECTION
ဌ၁,5,U+100C U+1041,MYANMAR LETTER TTHA | MYANMAR DIGIT ONE
vV,5,U+0076 U+0056,LATIN SMALL LETTER V | LATIN CAPITAL LETTER V
æm,5,U+00E6 U+006D,LATIN SMALL LETTER AE | LATIN SMALL LETTER M
pō,5,U+0070 U+014D,LATIN SMALL LETTER P | LATIN SMALL LETTER O WITH MACRON
5[,5,U+0035 U+005B,DIGIT FIVE | LEFT SQUARE BRACKET
6$,5,U+0036 U+0024,DIGIT SIX | DOLLAR SIGN
တA,5,U+1010 U+0041,MYANMAR LETTER TA | LATIN CAPITAL LETTER A
0G,5,U+0030 U+0047,DIGIT ZERO | LATIN CAPITAL LETTER G
aā,5,U+0061 U+0101,LATIN SMALL LETTER A | LATIN SMALL LETTER A WITH MACRON
*I,5,U+002A U+0049,ASTERISK | LATIN CAPITAL LETTER I
rí,5,U+0072 U+00ED,LATIN SMALL LETTER R | LATIN SMALL LETTER I WITH ACUTE
ဇS,5,U+1007 U+0053,MYANMAR LETTER JA | LATIN CAPITAL LETTER S
D&,5,U+0044 U+0026,LATIN CAPITAL LETTER D | AMPERSAND
{၄,5,U+007B U+1044,LEFT CURLY BRACKET | MYANMAR DIGIT FOUR
ငဟ,5,U+1004 U+101F,MYANMAR LETTER NGA | MYANMAR LETTER HA
ʊɰ,5,U+028A U+0270,LATIN SMALL LETTER UPSILON | LATIN SMALL LETTER TURNED M WITH LONG LEG
pʰ,5,U+0070 U+02B0,LATIN SMALL LETTER P | MODIFIER LETTER SMALL H
