bigram,count,codepoints,unicode_names
ွက,14754,U+103D U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
ာပ,14598,U+102C U+1015,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
တၠ,14576,U+1010 U+1060,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA
လု,14448,U+101C U+102F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ာက,14359,U+102C U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
အရ,14301,U+1021 U+101B,MYANMAR LETTER A | MYANMAR LETTER RA
ံလ,14228,U+1036 U+101C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
ုဒ,14145,U+102F U+1012,MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
ရု,14096,U+101B U+102F,MYANMAR LETTER RA | MYANMAR VOWEL SIGN U
ဇၞ,13944,U+1007 U+105E,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
္ပ,13774,U+1039 U+1015,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
မၠ,13733,U+1019 U+1060,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ပၞ,13629,U+1015 U+105E,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဲအ,13334,U+1032 U+1021,MYANMAR VOWEL SIGN AI | MYANMAR LETTER A
လဵ,13163,U+101C U+1035,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E ABOVE
ၟံ,13043,U+105F U+1036,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA
ဒေ,12904,U+1012 U+1031,MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
ကာ,12845,U+1000 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN AA
ချ,12547,U+1001 U+103B,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
ိဟ,12482,U+102D U+101F,MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
ုမ,12407,U+102F U+1019,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
ရိ,12240,U+101B U+102D,MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ကု,12191,U+1000 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
ူမ,11990,U+1030 U+1019,MYANMAR VOWEL SIGN UU | MYANMAR LETTER MA
ပၠ,11962,U+1015 U+1060,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
မၞ,11903,U+1019 U+105E,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
တၟ,11876,U+1010 U+105F,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ကိ,11850,U+1000 U+102D,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I
ဝွ,11813,U+101D U+103D,MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA
ဒု,11801,U+1012 U+102F,MYANMAR LETTER DA | MYANMAR VOWEL SIGN U
အိ,11700,U+1021 U+102D,MYANMAR LETTER A | MYANMAR VOWEL SIGN I
ကမ,11685,U+1000 U+1019,MYANMAR LETTER KA | MYANMAR LETTER MA
ျာ,11560,U+103B U+102C,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA
ဇြ,11555,U+1007 U+103C,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MEDIAL RA
ုသ,11526,U+102F U+101E,MYANMAR VOWEL SIGN U | MYANMAR LETTER SA
ူက,11499,U+1030 U+1000,MYANMAR VOWEL SIGN UU | MYANMAR LETTER KA
်ဖ,11490,U+103A U+1016,MYANMAR SIGN ASAT | MYANMAR LETTER PHA
တ္,11459,U+1010 U+1039,MYANMAR LETTER TA | MYANMAR SIGN VIRAMA
ခိ,11316,U+1001 U+102D,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I
းမ,11307,U+1038 U+1019,MYANMAR SIGN VISARGA | MYANMAR LETTER MA
ံအ,11220,U+1036 U+1021,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A
ွိ,11217,U+103D U+102D,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN I
ပွ,11104,U+1015 U+103D,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL WA
ဒၟ,11075,U+1012 U+105F,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ပါ,10952,U+1015 U+102B,MYANMAR LETTER PA | MYANMAR VOWEL SIGN TALL AA
ၟတ,10870,U+105F U+1010,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR LETTER TA
ၜိ,10852,U+105C U+102D,MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN I
ာလ,10784,U+102C U+101C,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA
ဲဒ,10778,U+1032 U+1012,MYANMAR VOWEL SIGN AI | MYANMAR LETTER DA
ကျ,10771,U+1000 U+103B,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
ေန,10715,U+1031 U+1014,MYANMAR VOWEL SIGN E | MYANMAR LETTER NA
ဘာ,10660,U+1018 U+102C,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AA
သေ,10608,U+101E U+1031,MYANMAR LETTER SA | MYANMAR VOWEL SIGN E
ဍေ,10486,U+100D U+1031,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN E
ပတ,10392,U+1015 U+1010,MYANMAR LETTER PA | MYANMAR LETTER TA
ာဂ,10324,U+102C U+1002,MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
လၟ,10315,U+101C U+105F,MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MON MEDIAL MA
မိ,10284,U+1019 U+102D,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
်ၜ,10276,U+103A U+105C,MYANMAR SIGN ASAT | MYANMAR LETTER MON BBA
ဳက,10088,U+1033 U+1000,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER KA
ရး,10082,U+101B U+1038,MYANMAR LETTER RA | MYANMAR SIGN VISARGA
်ဆ,10059,U+103A U+1006,MYANMAR SIGN ASAT | MYANMAR LETTER CHA
ဗီ,9876,U+1017 U+102E,MYANMAR LETTER BA | MYANMAR VOWEL SIGN II
ၞိ,9793,U+105E U+102D,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I
ာမ,9776,U+102C U+1019,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MA
ာဝ,9773,U+102C U+101D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA
ၠန,9647,U+1060 U+1014,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER NA
ဲလ,9547,U+1032 U+101C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA
းဒ,9368,U+1038 U+1012,MYANMAR SIGN VISARGA | MYANMAR LETTER DA
အသ,9357,U+1021 U+101E,MYANMAR LETTER A | MYANMAR LETTER SA
။ပ,9263,U+104B U+1015,MYANMAR SIGN SECTION | MYANMAR LETTER PA
တန,9258,U+1010 U+1014,MYANMAR LETTER TA | MYANMAR LETTER NA
ကြ,9243,U+1000 U+103C,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL RA
ဏေ,9241,U+100F U+1031,MYANMAR LETTER NNA | MYANMAR VOWEL SIGN E
်။,9143,U+103A U+104B,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION
းဍ,8993,U+1038 U+100D,MYANMAR SIGN VISARGA | MYANMAR LETTER DDA
ာသ,8920,U+102C U+101E,MYANMAR VOWEL SIGN AA | MYANMAR LETTER SA
ဍိ,8880,U+100D U+102D,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN I
ဗွ,8791,U+1017 U+103D,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA
ဲရ,8740,U+1032 U+101B,MYANMAR VOWEL SIGN AI | MYANMAR LETTER RA
်ဓ,8719,U+103A U+1013,MYANMAR SIGN ASAT | MYANMAR LETTER DHA
ၚဲ,8713,U+105A U+1032,MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN AI
ဂိ,8637,U+1002 U+102D,MYANMAR LETTER GA | MYANMAR VOWEL SIGN I
ဍာ,8608,U+100D U+102C,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AA
်ယ,8533,U+103A U+101A,MYANMAR SIGN ASAT | MYANMAR LETTER YA
ညာ,8501,U+100A U+102C,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
ဗ္,8492,U+1017 U+1039,MYANMAR LETTER BA | MYANMAR SIGN VIRAMA
ေသ,8476,U+1031 U+101E,MYANMAR VOWEL SIGN E | MYANMAR LETTER SA
မတ,8438,U+1019 U+1010,MYANMAR LETTER MA | MYANMAR LETTER TA
စၟ,8418,U+1005 U+105F,MYANMAR LETTER CA | MYANMAR CONSONANT SIGN MON MEDIAL MA
နက,8371,U+1014 U+1000,MYANMAR LETTER NA | MYANMAR LETTER KA
တီ,8263,U+1010 U+102E,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II
ကရ,8245,U+1000 U+101B,MYANMAR LETTER KA | MYANMAR LETTER RA
ုံ,8062,U+102F U+1036,MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA
ပံ,8048,U+1015 U+1036,MYANMAR LETTER PA | MYANMAR SIGN ANUSVARA
ျေ,8019,U+103B U+1031,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN E
ခေ,8009,U+1001 U+1031,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN E
၂၀,8005,U+1042 U+1040,MYANMAR DIGIT TWO | MYANMAR DIGIT ZERO
ထ္,8003,U+1011 U+1039,MYANMAR LETTER THA | MYANMAR SIGN VIRAMA
ၠာ,7952,U+1060 U+102C,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN AA
္စ,7925,U+1039 U+1005,MYANMAR SIGN VIRAMA | MYANMAR LETTER CA
တာ,7920,U+1010 U+102C,MYANMAR LETTER TA | MYANMAR VOWEL SIGN AA
တွ,7866,U+1010 U+103D,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL WA
ံဟ,7866,U+1036 U+101F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER HA
းပ,7854,U+1038 U+1015,MYANMAR SIGN VISARGA | MYANMAR LETTER PA
ြေ,7828,U+103C U+1031,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN E
ၞး,7800,U+105E U+1038,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN VISARGA
ျိ,7757,U+103B U+102D,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN I
းသ,7744,U+1038 U+101E,MYANMAR SIGN VISARGA | MYANMAR LETTER SA
ၜး,7641,U+105C U+1038,MYANMAR LETTER MON BBA | MYANMAR SIGN VISARGA
းဂ,7637,U+1038 U+1002,MYANMAR SIGN VISARGA | MYANMAR LETTER GA
ဟိ,7631,U+101F U+102D,MYANMAR LETTER HA | MYANMAR VOWEL SIGN I
မ်,7567,U+1019 U+103A,MYANMAR LETTER MA | MYANMAR SIGN ASAT
စာ,7454,U+1005 U+102C,MYANMAR LETTER CA | MYANMAR VOWEL SIGN AA
ထေ,7439,U+1011 U+1031,MYANMAR LETTER THA | MYANMAR VOWEL SIGN E
းလ,7390,U+1038 U+101C,MYANMAR SIGN VISARGA | MYANMAR LETTER LA
ဒပ,7379,U+1012 U+1015,MYANMAR LETTER DA | MYANMAR LETTER PA
ဆက,7335,U+1006 U+1000,MYANMAR LETTER CHA | MYANMAR LETTER KA
