trigram,count,codepoints,unicode_names
ဖံက,1,U+1016 U+1036 U+1000,MYANMAR LETTER PHA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ဟာ၇,1,U+101F U+102C U+1047,MYANMAR LETTER HA | MYANMAR VOWEL SIGN AA | MYANMAR DIGIT SEVEN
ာ၇တ,1,U+102C U+1047 U+1010,MYANMAR VOWEL SIGN AA | MYANMAR DIGIT SEVEN | MYANMAR LETTER TA
၇တအ,1,U+1047 U+1010 U+1021,MYANMAR DIGIT SEVEN | MYANMAR LETTER TA | MYANMAR LETTER A
ံ၁၁,1,U+1036 U+1041 U+1041,MYANMAR SIGN ANUSVARA | MYANMAR DIGIT ONE | MYANMAR DIGIT ONE
၁၁တ,1,U+1041 U+1041 U+1010,MYANMAR DIGIT ONE | MYANMAR DIGIT ONE | MYANMAR LETTER TA
ာဂး,1,U+102C U+1002 U+1038,MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA | MYANMAR SIGN VISARGA
ဟာဒ,1,U+101F U+102C U+1012,MYANMAR LETTER HA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER DA
၃၀ဏ,1,U+1043 U+1040 U+100F,MYANMAR DIGIT THREE | MYANMAR DIGIT ZERO | MYANMAR LETTER NNA
၀ဏံ,1,U+1040 U+100F U+1036,MYANMAR DIGIT ZERO | MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA
တးဟ,1,U+1010 U+1038 U+101F,MYANMAR LETTER TA | MYANMAR SIGN VISARGA | MYANMAR LETTER HA
တီယ,1,U+1010 U+102E U+101A,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II | MYANMAR LETTER YA
ီယၟ,1,U+102E U+101A U+105F,MYANMAR VOWEL SIGN II | MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ြုမ,1,U+103C U+102F U+1019,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
ခဏဏ,1,U+1001 U+100F U+100F,MYANMAR LETTER KHA | MYANMAR LETTER NNA | MYANMAR LETTER NNA
ဏဏီ,1,U+100F U+100F U+102E,MYANMAR LETTER NNA | MYANMAR LETTER NNA | MYANMAR VOWEL SIGN II
၅မိ,1,U+1045 U+1019 U+102D,MYANMAR DIGIT FIVE | MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
ၠာ၊,1,U+1060 U+102C U+104A,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN AA | MYANMAR SIGN LITTLE SECTION
ာ၊ဂ,1,U+102C U+104A U+1002,MYANMAR VOWEL SIGN AA | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER GA
၃၀မ,1,U+1043 U+1040 U+1019,MYANMAR DIGIT THREE | MYANMAR DIGIT ZERO | MYANMAR LETTER MA
ရူဒ,1,U+101B U+1030 U+1012,MYANMAR LETTER RA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER DA
ူဒဒ,1,U+1030 U+1012 U+1012,MYANMAR VOWEL SIGN UU | MYANMAR LETTER DA | MYANMAR LETTER DA
တးလ,1,U+1010 U+1038 U+101C,MYANMAR LETTER TA | MYANMAR SIGN VISARGA | MYANMAR LETTER LA
ျူထ,1,U+103B U+1030 U+1011,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER THA
ူထမ,1,U+1030 U+1011 U+1019,MYANMAR VOWEL SIGN UU | MYANMAR LETTER THA | MYANMAR LETTER MA
ထပံ,1,U+1011 U+1015 U+1036,MYANMAR LETTER THA | MYANMAR LETTER PA | MYANMAR SIGN ANUSVARA
ံစဓ,1,U+1036 U+1005 U+1013,MYANMAR SIGN ANUSVARA | MYANMAR LETTER CA | MYANMAR LETTER DHA
စဓမ,1,U+1005 U+1013 U+1019,MYANMAR LETTER CA | MYANMAR LETTER DHA | MYANMAR LETTER MA
ကဌက,1,U+1000 U+100C U+1000,MYANMAR LETTER KA | MYANMAR LETTER TTHA | MYANMAR LETTER KA
ဌကံ,1,U+100C U+1000 U+1036,MYANMAR LETTER TTHA | MYANMAR LETTER KA | MYANMAR SIGN ANUSVARA
၁၇စ,1,U+1041 U+1047 U+1005,MYANMAR DIGIT ONE | MYANMAR DIGIT SEVEN | MYANMAR LETTER CA
၇စဵ,1,U+1047 U+1005 U+1035,MYANMAR DIGIT SEVEN | MYANMAR LETTER CA | MYANMAR VOWEL SIGN E ABOVE
၉အပ,1,U+1049 U+1021 U+1015,MYANMAR DIGIT NINE | MYANMAR LETTER A | MYANMAR LETTER PA
ၠဳဆ,1,U+1060 U+1033 U+1006,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER CHA
ဳဆဵ,1,U+1033 U+1006 U+1035,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER CHA | MYANMAR VOWEL SIGN E ABOVE
်ဇံ,1,U+103A U+1007 U+1036,MYANMAR SIGN ASAT | MYANMAR LETTER JA | MYANMAR SIGN ANUSVARA
ဇံၚ,1,U+1007 U+1036 U+105A,MYANMAR LETTER JA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA
သဘာ,1,U+101E U+1018 U+102C,MYANMAR LETTER SA | MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AA
းစဒ,1,U+1038 U+1005 U+1012,MYANMAR SIGN VISARGA | MYANMAR LETTER CA | MYANMAR LETTER DA
စဒက,1,U+1005 U+1012 U+1000,MYANMAR LETTER CA | MYANMAR LETTER DA | MYANMAR LETTER KA
်ဖတ,1,U+103A U+1016 U+1010,MYANMAR SIGN ASAT | MYANMAR LETTER PHA | MYANMAR LETTER TA
ဖတ်,1,U+1016 U+1010 U+103A,MYANMAR LETTER PHA | MYANMAR LETTER TA | MYANMAR SIGN ASAT
းစအ,1,U+1038 U+1005 U+1021,MYANMAR SIGN VISARGA | MYANMAR LETTER CA | MYANMAR LETTER A
ညာ၊,1,U+100A U+102C U+104A,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA | MYANMAR SIGN LITTLE SECTION
းမထ,1,U+1038 U+1019 U+1011,MYANMAR SIGN VISARGA | MYANMAR LETTER MA | MYANMAR LETTER THA
ံဒဳ,1,U+1036 U+1012 U+1033,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA | MYANMAR VOWEL SIGN MON II
လာဟ,1,U+101C U+102C U+101F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER HA
ဟူ၊,1,U+101F U+1030 U+104A,MYANMAR LETTER HA | MYANMAR VOWEL SIGN UU | MYANMAR SIGN LITTLE SECTION
ူ၊ဒ,1,U+1030 U+104A U+1012,MYANMAR VOWEL SIGN UU | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER DA
၊ဂအ,1,U+104A U+1002 U+1021,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER GA | MYANMAR LETTER A
ိကရ,1,U+102D U+1000 U+101B,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA | MYANMAR LETTER RA
ံမတ,1,U+1036 U+1019 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA | MYANMAR LETTER TA
မနက,1,U+1019 U+1014 U+1000,MYANMAR LETTER MA | MYANMAR LETTER NA | MYANMAR LETTER KA
ာ၃တ,1,U+102C U+1043 U+1010,MYANMAR VOWEL SIGN AA | MYANMAR DIGIT THREE | MYANMAR LETTER TA
ဲ၂တ,1,U+1032 U+1042 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR DIGIT TWO | MYANMAR LETTER TA
ယ်န,1,U+101A U+103A U+1014,MYANMAR LETTER YA | MYANMAR SIGN ASAT | MYANMAR LETTER NA
ု၃တ,1,U+102F U+1043 U+1010,MYANMAR VOWEL SIGN U | MYANMAR DIGIT THREE | MYANMAR LETTER TA
မုံ,1,U+1019 U+102F U+1036,MYANMAR LETTER MA | MYANMAR VOWEL SIGN U | MYANMAR SIGN ANUSVARA
ံရွ,1,U+1036 U+101B U+103D,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA | MYANMAR CONSONANT SIGN MEDIAL WA
ရွာ,1,U+101B U+103D U+102C,MYANMAR LETTER RA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
္ကယ,1,U+1039 U+1000 U+101A,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA | MYANMAR LETTER YA
ကယ်,1,U+1000 U+101A U+103A,MYANMAR LETTER KA | MYANMAR LETTER YA | MYANMAR SIGN ASAT
ကျၚ,1,U+1000 U+103B U+105A,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER MON NGA
်းဒ,1,U+103A U+1038 U+1012,MYANMAR SIGN ASAT | MYANMAR SIGN VISARGA | MYANMAR LETTER DA
ၚိၜ,1,U+105A U+102D U+105C,MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN I | MYANMAR LETTER MON BBA
ိၜိ,1,U+102D U+105C U+102D,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN I
ံမ၊,1,U+1036 U+1019 U+104A,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA | MYANMAR SIGN LITTLE SECTION
မ၊လ,1,U+1019 U+104A U+101C,MYANMAR LETTER MA | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER LA
၀ကွ,1,U+1040 U+1000 U+103D,MYANMAR DIGIT ZERO | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA
ၚိက,1,U+105A U+102D U+1000,MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
္ၚီ,1,U+1039 U+105A U+102E,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN II
ၚီတ,1,U+105A U+102E U+1010,MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN II | MYANMAR LETTER TA
