bigram,count,codepoints,unicode_names
္ပ,190,U+1039 U+1015,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
ာအ,190,U+102C U+1021,MYANMAR VOWEL SIGN AA | MYANMAR LETTER A
ုမ,190,U+102F U+1019,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
မၞ,189,U+1019 U+105E,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဏအ,188,U+100F U+1021,MYANMAR LETTER NNA | MYANMAR LETTER A
ိဟ,187,U+102D U+101F,MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
ဲအ,184,U+1032 U+1021,MYANMAR VOWEL SIGN AI | MYANMAR LETTER A
ယာ,184,U+101A U+102C,MYANMAR LETTER YA | MYANMAR VOWEL SIGN AA
ဒပ,184,U+1012 U+1015,MYANMAR LETTER DA | MYANMAR LETTER PA
ာရ,183,U+102C U+101B,MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ာဝ,183,U+102C U+101D,MYANMAR VOWEL SIGN AA | MYANMAR LETTER WA
ဇြ,179,U+1007 U+103C,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MEDIAL RA
အဲ,178,U+1021 U+1032,MYANMAR LETTER A | MYANMAR VOWEL SIGN AI
ြာ,178,U+103C U+102C,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA
ၞိ,177,U+105E U+102D,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I
ဂိ,177,U+1002 U+102D,MYANMAR LETTER GA | MYANMAR VOWEL SIGN I
ံလ,177,U+1036 U+101C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
နက,175,U+1014 U+1000,MYANMAR LETTER NA | MYANMAR LETTER KA
ၜိ,173,U+105C U+102D,MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN I
ၟတ,172,U+105F U+1010,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR LETTER TA
ိယ,172,U+102D U+101A,MYANMAR VOWEL SIGN I | MYANMAR LETTER YA
