file,cluster_count,raw_text_length,nga_to_mon_nga_replacements,mon_half_stop_removed,mon_full_stop_removed,status
monnews/monnews_20260120_223250_2907.txt,1160,2743,0,0,0,ok
monnews/monnews_20260120_223250_1591.txt,922,2261,72,0,0,ok
monnews/monnews_20260120_223250_1142.txt,781,1947,0,0,0,ok
monnews/monnews_20260120_223250_2770.txt,887,2270,0,0,0,ok
monnews/monnews_20260120_223250_2099.txt,916,2298,0,0,0,ok
monnews/monnews_20260120_223250_975.txt,3556,8769,0,0,0,ok
monnews/monnews_20260120_223250_1887.txt,1076,2694,0,0,0,ok
monnews/monnews_20260120_223250_418.txt,1025,2548,4,0,0,ok
monnews/monnews_20260120_223250_1598.txt,790,1954,0,0,0,ok
monnews/monnews_20260120_223250_858.txt,802,1951,0,0,0,ok
monnews/monnews_20260120_223250_3011.txt,499,1285,0,0,0,ok
monnews/monnews_20260120_223250_2347.txt,1267,3164,0,0,0,ok
monnews/monnews_20260120_223250_1666.txt,1101,2673,0,0,0,ok
monnews/monnews_20260120_223250_1798.txt,1049,2542,0,0,0,ok
monnews/monnews_20260120_223250_2483.txt,1299,3203,0,0,0,ok
monnews/monnews_20260120_223250_1723.txt,1415,3450,0,0,0,ok
monnews/monnews_20260120_223250_2628.txt,32,80,0,0,0,ok
monnews/monnews_20260120_223250_2860.txt,3687,9886,0,0,0,ok
monnews/monnews_20260120_223250_596.txt,632,1445,0,0,0,ok
monnews/monnews_20260120_223250_3404.txt,609,1479,0,0,0,ok
monnews/monnews_20260120_223250_3063.txt,624,1498,0,0,0,ok
monnews/monnews_20260120_223250_1423.txt,45,102,0,0,0,ok
monnews/monnews_20260120_223250_1380.txt,796,2018,0,0,0,ok
monnews/monnews_20260120_223250_2785.txt,3717,8965,0,0,0,ok
monnews/monnews_20260120_223250_1205.txt,512,1287,0,0,0,ok
monnews/monnews_20260120_223250_1838.txt,1248,3059,0,0,0,ok
monnews/monnews_20260120_223250_613.txt,829,2036,0,0,0,ok
monnews/monnews_20260120_223250_1482.txt,897,2165,0,0,0,ok
monnews/monnews_20260120_223250_571.txt,769,1915,65,0,0,ok
monnews/monnews_20260120_223250_3303.txt,1050,2656,0,0,0,ok
monnews/monnews_20260120_223250_3302.txt,776,1918,0,0,0,ok
monnews/monnews_20260120_223250_19.txt,770,1974,0,0,0,ok
monnews/monnews_20260120_223250_3482.txt,1179,2795,0,0,0,ok
monnews/monnews_20260120_223250_2918.txt,1001,2499,0,0,0,ok
monnews/monnews_20260120_223250_2478.txt,1211,3155,0,0,0,ok
monnews/monnews_20260120_223250_351.txt,3239,7701,305,0,0,ok
monnews/monnews_20260120_223250_1276.txt,886,2163,0,0,0,ok
monnews/monnews_20260120_223250_17.txt,962,2434,0,0,0,ok
monnews/monnews_20260120_223250_3514.txt,899,2258,0,0,0,ok
monnews/monnews_20260120_223250_1233.txt,527,1356,0,0,0,ok
monnews/monnews_20260120_223250_3049.txt,649,1640,0,0,0,ok
monnews/monnews_20260120_223250_1265.txt,909,2308,0,0,0,ok
monnews/monnews_20260120_223250_1197.txt,2053,5091,0,0,0,ok
